material,observable,median_abs_residual_reference,median_abs_standardized_residual_reference,posterior_95_hdi_contains_experimental_mean_reference,median_abs_residual_candidate,median_abs_standardized_residual_candidate,posterior_95_hdi_contains_experimental_mean_candidate,median_abs_residual_difference_candidate_minus_reference,median_abs_residual_ratio_candidate_over_reference,median_abs_standardized_residual_difference_candidate_minus_reference,median_abs_standardized_residual_ratio_candidate_over_reference,posterior_95_hdi_contains_experimental_mean_difference_candidate_minus_reference,posterior_95_hdi_contains_experimental_mean_ratio_candidate_over_reference
Ag10Pd90,alpha,0.0996149022615072,11.587070919256089,0.0314465408805031,0.0755476326634098,6.990965916714941,0.020964360587002,-0.024067269598097393,0.7583968959291207,-4.596105002541147,0.6033419459871378,-0.010482180293501103,0.6666666666666645
Ag10Pd90,delta_OH,0.2010433861520862,2.1110792355221712,0.0394736842105263,0.136842932857984,1.4840873038384907,0.0263157894736842,-0.0642004532941022,0.6806636889535099,-0.6269919316836805,0.702999337431977,-0.013157894736842101,0.6666666666666666
Ag10Pd90,delta_CO,0.3377559373355776,15.695269478488395,0.0028248587570621,0.2760590552709384,15.401243404031897,0.0084745762711864,-0.06169688206463925,0.8173329459391848,-0.2940260744564984,0.9812665800444214,0.005649717514124301,3.0000000000000355
Ag25Pd75,alpha,0.0613056053108543,4.8073396538955,0.0551020408163265,0.0387917676210888,2.965003013096812,0.0653061224489796,-0.022513837689765497,0.6327605350994003,-1.8423366407986883,0.6167658677277359,0.0102040816326531,1.185185185185186
Ag25Pd75,delta_OH,0.2113546749124866,1.222121574221207,0.0185185185185185,0.2005652732197677,1.0140844008296068,0.0,-0.010789401692718914,0.9489512039552171,-0.20803717339160022,0.8297737493717258,-0.0185185185185185,0.0
Ag25Pd75,delta_CO,0.2188307282188079,8.324747842793638,0.0027247956403269,0.2072426617015218,5.818338876253017,0.0136239782016348,-0.011588066517286083,0.9470455241290463,-2.5064089665406213,0.6989207344327784,0.0108991825613079,5.00000000000011
Ag50Pd50,alpha,0.0464984429393141,2.224249052606916,0.0873983739837398,0.033386062659885,1.9197793263508656,0.1036585365853658,-0.013112380279429098,0.7180038846345396,-0.3044697262560505,0.8631134737815449,0.016260162601625994,1.1860465116279069
Ag50Pd50,delta_OH,0.1936070463747713,1.2110147814105643,0.0975609756097561,0.1878567230738763,1.1196069755471698,0.024390243902439,-0.005750323300895005,0.9702989978486427,-0.09140780586339448,0.9245196613067558,-0.0731707317073171,0.24999999999999975
Ag50Pd50,delta_CO,0.1825640362186203,4.819062350674827,0.029810298102981,0.1755046000706747,4.616503920019378,0.029810298102981,-0.0070594361479456025,0.9613317261484516,-0.20255843065544887,0.9579672525658266,0.0,1.0
Ag75Pd25,alpha,0.0285563625109001,2.7655448113664445,0.0955284552845528,0.0294360881417124,2.619549571269292,0.1280487804878048,0.000879725630812303,1.0308066417939787,-0.14599524009715248,0.9472092299871225,0.032520325203252,1.3404255319148934
Ag75Pd25,delta_OH,0.1074685415309694,0.7691323462699284,0.0609756097560975,0.0694149597529777,0.5156009802838417,0.1402439024390244,-0.03805358177799169,0.6459095728304294,-0.2535313659860867,0.6703670477315884,0.0792682926829269,2.3000000000000025
Ag75Pd25,delta_CO,0.194445835853025,4.882173108465668,0.008130081300813,0.1920670508870486,5.893270704310373,0.040650406504065,-0.002378784965976405,0.9877663362882482,1.0110975958447046,1.2070999068204824,0.032520325203252,5.0
Ag90Pd10,alpha,0.0460039727745665,4.583713550968696,0.0528455284552845,0.0478802562631795,4.427773554300435,0.0995934959349593,0.0018762834886130036,1.0407852490872336,-0.15593999666826086,0.9659795502196455,0.046747967479674794,1.8846153846153855
Ag90Pd10,delta_OH,0.1167217645684525,0.4050133406888211,0.0975609756097561,0.0978038132347525,0.3295097102686933,0.0365853658536585,-0.0189179513337,0.8379226753155757,-0.07550363042012781,0.8135774236677834,-0.0609756097560976,0.3749999999999996
Ag90Pd10,delta_CO,0.232107763296418,6.2159334826384125,0.008130081300813,0.2163332505950707,6.423036746090278,0.002710027100271,-0.015774512701347304,0.932037978922738,0.2071032634518657,1.0333181273625789,-0.005420054200542,0.3333333333333333
Pd100,alpha,0.648266857712379,33.950873211525405,0.0102459016393442,0.0437347793302144,2.067642649067719,0.0655737704918032,-0.6045320783821646,0.06746416049178702,-31.883230562457687,0.06090101530483787,0.055327868852458995,6.4000000000000306
Pd100,delta_OH,0.1696441447581957,1.1618219694989624,0.0124223602484472,0.0999828846984947,0.8167624694355989,0.0124223602484472,-0.069661260059701,0.5893683206161138,-0.3450595000633635,0.7030013985600815,0.0,1.0
Pd100,delta_CO,0.5886596613265247,18.412643503532752,0.0054794520547945,0.1828430391045382,4.951352510680814,0.0054794520547945,-0.4058166222219865,0.3106090855495475,-13.46129099285194,0.2689104641455107,0.0,1.0
