scope,material,reference_model,candidate_model,n_observations,reference_elpd,candidate_elpd,delta_elpd_candidate_minus_reference,se_delta_elpd,delta_elpd_over_se,mean_pointwise_delta_elpd,fraction_points_favoring_candidate
overall,,BF_LH,CO_BF_ER_LH,8793,-10362.534593201719,-6623.20781460896,3739.326778592761,99.82420869656997,37.45911765711043,0.4252617739784785,0.59558739906744
material,Ag10Pd90,BF_LH,CO_BF_ER_LH,1431,-1830.347131992573,-2045.081302692773,-214.73417070019988,19.394272948493324,-11.072040249741967,-0.15005881949699504,0.2138364779874214
material,Ag25Pd75,BF_LH,CO_BF_ER_LH,1470,-1751.4111414318236,-1491.4146705321518,259.99647089967186,16.094862387511423,16.154003969702305,0.1768683475507972,0.7557823129251701
material,Ag50Pd50,BF_LH,CO_BF_ER_LH,1476,-907.4428650417688,-635.0463948482186,272.3964701935501,24.890920177328443,10.943607880019588,0.1845504540606708,0.7154471544715447
material,Ag75Pd25,BF_LH,CO_BF_ER_LH,1476,-598.2657601515793,-535.590512562649,62.67524758893032,21.667722188516954,2.892562819646347,0.042462904870549,0.5291327913279132
material,Ag90Pd10,BF_LH,CO_BF_ER_LH,1476,-1156.9425590350525,-1279.8906835054693,-122.94812447041693,15.66423617271873,-7.848970298631401,-0.08329818731058057,0.36585365853658536
material,Pd100,BF_LH,CO_BF_ER_LH,1464,-4118.125135548924,-636.1842504676981,3481.9408850812256,34.11347157683471,102.06937975335504,2.3783749215035694,0.985655737704918
