material,variable,mean_reference,sd_reference,median_reference,hdi95_lower_reference,hdi95_upper_reference,mean_candidate,sd_candidate,median_candidate,hdi95_lower_candidate,hdi95_upper_candidate,mean_difference_candidate_minus_reference,mean_ratio_candidate_over_reference,sd_difference_candidate_minus_reference,sd_ratio_candidate_over_reference,median_difference_candidate_minus_reference,median_ratio_candidate_over_reference,hdi95_lower_difference_candidate_minus_reference,hdi95_lower_ratio_candidate_over_reference,hdi95_upper_difference_candidate_minus_reference,hdi95_upper_ratio_candidate_over_reference
Ag10Pd90,sigma_ln_rate_material,0.8677042019502678,0.0200889461060069,0.8673132213721668,0.8291107364234369,0.906646572025672,1.0083973332478275,0.019060131114258,1.008060915469307,0.9709338173890616,1.0436143918122094,0.14069313129755978,1.162144116602565,-0.0010288149917489012,0.948787010213479,0.14074769409714016,1.1622801205249296,0.14182308096562468,1.1710544499488835,0.13696781978653738,1.1510707965073066
Ag25Pd75,sigma_ln_rate_material,0.7942399678454333,0.0161772148729626,0.7937751464710311,0.7645310448119638,0.8276387855861114,0.6654733999305538,0.0129834826300956,0.665259977280314,0.6410902800276818,0.6920176162905769,-0.1287665679148795,0.8378744798449393,-0.0031937322428670003,0.8025783629662503,-0.12851516919071704,0.8380962546357488,-0.12344076478428201,0.8385405463624538,-0.13562116929553447,0.836134831212035
Ag50Pd50,sigma_ln_rate_material,0.4460937987608724,0.0094839851810355,0.4457076267267875,0.4283258474051667,0.465671005086907,0.370975304479319,0.0076789187013138,0.3708955597147448,0.3564659590834192,0.3864898817709744,-0.07511849428155343,0.831608297424864,-0.0018050664797216991,0.8096721530806299,-0.07481206701204268,0.8321499060685775,-0.0718598883217475,0.8322307916809583,-0.07918112331593263,0.8299633809041744
Ag75Pd25,sigma_ln_rate_material,0.3618718311874695,0.0069720352251911,0.3616556287659009,0.3489769137878752,0.3761918209380119,0.3467718345428469,0.0066618355142065,0.3467445093033474,0.3341526146151869,0.3598685306278986,-0.015099996644622637,0.9582725281626023,-0.0003101997109845999,0.955508011510929,-0.014911119462553524,0.9587698399346483,-0.014824299172688293,0.9575206880828249,-0.016323290310113314,0.956609130231986
Ag90Pd10,sigma_ln_rate_material,0.5284027568061288,0.0117679302507732,0.5281976787171949,0.5043380455394056,0.5510625722081797,0.5742963666179892,0.0120343706496028,0.5743214372102199,0.5501736238087119,0.5965693189101419,0.045893609811860414,1.0868534639926166,0.0002664403988295993,1.022641228589207,0.04612375849302497,1.0873229102502746,0.04583557826930629,1.0908826503863767,0.0455067467019622,1.08257999907272
Pd100,sigma_ln_rate_material,4.022415068245804,0.0855492068558814,4.020022690892725,3.8622956879032224,4.194923851616215,0.3721453097854669,0.0074630364069664,0.3719954369707791,0.3577399302958149,0.3864847197695006,-3.6502697584603374,0.0925178788045266,-0.078086170448915,0.08723676912094394,-3.648027253921946,0.09253565603336686,-3.5045557576074073,0.09262365163192,-3.8084391318467143,0.09213152215399482
Ag10Pd90,sigma_ln_rate_setup_material,0.062202351537115,0.0303558644292125,0.0568680703861347,0.0137805186182621,0.1228734076312174,0.0609321425549347,0.0325175306297931,0.0548995073511917,0.0103036873269075,0.1221947117106042,-0.0012702089821803042,0.9795794057492763,0.002161666200580604,1.071210826679683,-0.0019685630349429994,0.9653836850525006,-0.0034768312913546,0.7476995323857359,-0.0006786959206132037,0.9944764621271822
Ag25Pd75,sigma_ln_rate_setup_material,0.1399851979684727,0.0460807740518374,0.1318237907807296,0.0698010852398542,0.2309773563305443,0.1456717265139506,0.0460217065122149,0.1371502505174076,0.0717890643800148,0.2372752701496654,0.005686528545477909,1.040622355991943,-5.9067539622502385e-05,0.9987181738840573,0.005326459736678002,1.0404059062869602,0.0019879791401605923,1.028480633694009,0.006297913819121093,1.0272663689600305
Ag50Pd50,sigma_ln_rate_setup_material,0.1516098947562693,0.0456110177718251,0.1432113170633725,0.0819448742346301,0.2402447165357995,0.157273960083581,0.0471602015687154,0.1477351516066818,0.0812318044226444,0.2498273599714248,0.005664065327311701,1.0373594700821958,0.0015491837968902994,1.033965122300938,0.004523834543309291,1.0315885269130474,-0.0007130698119856976,0.9912981767481394,0.009582643435625288,1.039887010102873
Ag75Pd25,sigma_ln_rate_setup_material,0.0955350187792752,0.0325259183180456,0.0892607071761977,0.0478414468598617,0.1608080935570646,0.09468037700329,0.030978863145119,0.088810452636741,0.0483962998114017,0.153976517772648,-0.000854641775985196,0.9910541517978892,-0.0015470551729265987,0.9524362338428342,-0.0004502545394566987,0.994955736362609,0.0005548529515400011,1.0115977460540708,-0.006831575784416594,0.9575172142564309
Ag90Pd10,sigma_ln_rate_setup_material,0.2034911147735318,0.0597261882732694,0.1915230801781834,0.1096957619802491,0.3251157932640679,0.2012348714735121,0.0579297363061906,0.1909005738674805,0.1075259236982699,0.3135965770373255,-0.0022562433000196946,0.9889123252259407,-0.0017964519670787965,0.9699218714768911,-0.0006225063107029027,0.9967497060400043,-0.002169838281979211,0.9802194884942784,-0.011519216226742401,0.9645688814096269
Pd100,sigma_ln_rate_setup_material,0.085786259370078,0.0528110838328989,0.0738949451622199,0.0129309158824426,0.1914640139453886,0.1031631617474516,0.0337993598615993,0.0965323150263615,0.0492480549150808,0.1685606354042244,0.017376902377373604,1.202560439223844,-0.019011723971299598,0.640005040770321,0.02263736986414161,1.3063453097427207,0.0363171390326382,3.8085511778751155,-0.0229033785411642,0.8803776330120346
