observable,n_points,median_abs_residual,median_abs_standardized_residual,posterior_95_hdi_contains_experimental_mean,median_chain_median_range_over_exp_sd,p95_chain_median_range_over_exp_sd,max_chain_median_range_over_exp_sd
alpha,492,0.03303066393314861,3.1428892031728424,0.21138211382113822,0.05129512187311588,0.26134965705726965,1.2569853184605655
delta_OH,164,0.06445298378941772,0.24512789856686323,0.2865853658536585,0.0045329494967131685,0.007468641903976339,0.009408879788925498
delta_CO,369,0.2430306232101237,5.628895138385111,0.10298102981029811,0.008960233066923898,0.12917020334992177,0.2983283616618935
