balance,max_abs_error,q999_abs_error
Pd,6.661338147750939e-16,5.551115123125783e-16
Ag,4.440892098500626e-16,4.440892098500626e-16
pathway_fraction_sum,1.0880185641326534e-14,1.0436096431476471e-14
