variable,index,mean,sd,median,hdi95_lower,hdi95_upper
sigma_ln_rate_material,"(0,)",0.3920226168944282,0.00727369459146322,0.39181537081588347,0.37714152746800345,0.4054888717555078
sigma_ln_rate_setup_material,"(0,)",0.15054744839232945,0.04401849187749095,0.14368230059624987,0.08245294702301151,0.2381116129257223
