parameter,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
deltaG1_0,4143.8347100254105,2762.561860523729,1.0003027351787257,1.3566722791993812e-05,9.553746461866103e-06
deltaG4_0,2412.4375189614634,2749.552519763274,1.0022383113504132,7.938482244774779e-05,5.685098490965682e-05
deltaG5_0,1444.1103400852078,1503.8619501805272,1.0006080737026202,7.031185243519018e-05,4.8495341927818845e-05
beta_2,2287.828612837632,1930.0115925471391,1.0007347408852019,0.00013037859721581364,0.00015244578361340376
q,2042.4352215754277,2463.183537084082,1.0007143875720736,0.0001473513712313584,0.00012152900263670735
Gact2_BF_0,1488.7513974594838,1477.9363793131872,0.9999326481700801,4.8295241402662296e-05,3.4332541015554306e-05
Gact2_LH_0,3047.2476164529376,2456.8605906294715,1.000047579497988,0.0022791952214353843,0.002222327373839136
sigma_ln_rate_material,5113.446713665877,2777.272392185511,1.0006923454691075,0.00010206593439332491,7.204083109004255e-05
sigma_ln_rate_setup_material,1594.8582683600096,1948.1725150239113,1.0009611737394053,0.0010960679158714805,0.0015141596114768166
