      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 08:38:41  -104455.892863*       0.4425
FIRE:    1 08:43:11  -104455.892769*       0.4831
FIRE:    2 08:47:32  -104455.893647*       0.2200
FIRE:    3 08:52:54  -104455.893898*       0.1294
FIRE:    4 08:56:08  -104455.893921*       0.1423
FIRE:    5 09:00:36  -104455.893960*       0.0837
FIRE:    6 09:03:20  -104455.894002*       0.0534
FIRE:    7 09:05:39  -104455.894033*       0.0565
FIRE:    8 09:08:21  -104455.894051*       0.0650
FIRE:    9 09:09:47  -104455.894054*       0.0739
FIRE:   10 09:12:06  -104455.894061*       0.0496
