      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 04:25:23  -104208.685188*       0.7492
FIRE:    1 04:32:24  -104208.692301*       0.5172
FIRE:    2 04:39:20  -104208.699611*       0.3302
FIRE:    3 04:45:59  -104208.703916*       0.1120
FIRE:    4 04:52:59  -104208.703649*       0.2468
FIRE:    5 04:55:44  -104208.704008*       0.1855
FIRE:    6 04:59:04  -104208.704522*       0.1961
FIRE:    7 05:02:56  -104208.704965*       0.2142
FIRE:    8 05:07:27  -104208.705320*       0.1461
FIRE:    9 05:11:44  -104208.705679*       0.1777
FIRE:   10 05:16:30  -104208.706128*       0.1562
FIRE:   11 05:20:30  -104208.706538*       0.0874
FIRE:   12 05:25:04  -104208.706790*       0.1128
FIRE:   13 05:27:30  -104208.706807*       0.0597
FIRE:   14 05:30:23  -104208.706829*       0.1074
FIRE:   15 05:32:50  -104208.706852*       0.0919
FIRE:   16 05:35:35  -104208.706884*       0.0714
FIRE:   17 05:38:10  -104208.706919*       0.0675
FIRE:   18 05:40:27  -104208.706954*       0.0789
FIRE:   19 05:43:32  -104208.707002*       0.0509
FIRE:   20 05:47:09  -104208.707057*       0.0577
FIRE:   21 05:50:04  -104208.707122*       0.0606
FIRE:   22 05:52:52  -104208.707189*       0.0554
FIRE:   23 05:56:40  -104208.707292*       0.0504
FIRE:   24 06:00:21  -104208.707411*       0.0640
FIRE:   25 06:03:08  -104208.707547*       0.0527
FIRE:   26 06:06:38  -104208.707696*       0.0692
FIRE:   27 06:10:48  -104208.707842*       0.0461
