parameter,prior_mean,prior_sd,prior_q025,prior_q50,prior_q975,lower,upper,posterior_mean,posterior_sd,posterior_median,posterior_hdi95_lower,posterior_hdi95_upper,sd_ratio_posterior_over_prior,interval95_width_ratio_posterior_hdi_over_prior_central
deltaG1_0,-0.4,0.2,-0.7919927969080109,-0.4,-0.008007203091989212,,,-0.12181250210468593,0.0009440236470981282,-0.12182200041794741,-0.12360292630938402,-0.11992799318942032,0.004720118235490641,0.004687500827758954
deltaG4_0,0.0,0.2,-0.3919927969080109,0.0,0.3919927969080108,,,0.1166809159038771,0.004261950158343143,0.11666139168136785,0.10846878785831358,0.12496940663681831,0.021309750791715713,0.02104709437094189
deltaG5_0,0.0,0.2,-0.3919927969080109,0.0,0.3919927969080108,,,0.010357556410882502,0.002775119321932923,0.01029442973711911,0.005069204277260812,0.015844233855277667,0.013875596609664614,0.013743912723663435
beta_2,0.5,0.2886751345948129,0.025,0.5,0.975,0.0,1.0,0.007088358886652831,0.0063350993514455405,0.005310991774840649,4.409617619360151e-06,0.02009897650069913,0.021945427895400636,0.02115217566639976
q,0.5,0.2886751345948129,0.025,0.5,0.975,0.0,1.0,0.3100398565163216,0.0070012668641763086,0.31044152260004765,0.29661393701939215,0.32385923161304414,0.02425309985220359,0.028679257467002096
Gact2_BF_0,0.700174577150731,0.19969417997855315,0.3087804271393961,0.7000583114635273,1.0920127003633506,0.0,inf,0.6602741154940204,0.0019253362297773583,0.6603624857983721,0.656432782739742,0.6638917734895239,0.009641423851131448,0.009523344485128296
Gact2_LH_0,0.700174577150731,0.19969417997855315,0.3087804271393961,0.7000583114635273,1.0920127003633506,0.0,inf,0.9018116954987654,0.11417666780330737,0.8802795649471135,0.7338261425368697,1.1213747327470003,0.5717576136448732,0.49480671757165495
