balance,max_abs_error,q999_abs_error
Pd,7.771561172376096e-16,6.661338147750939e-16
Ag,2.220446049250313e-16,2.220446049250313e-16
pathway_fraction_sum,1.0880185641326534e-14,9.103828801926284e-15
