variable,minimum,maximum,q025,q50,q975,fraction_below_zero,fraction_above_one
theta_CO,0.013768540612519795,0.9934014355028968,0.07355049184840054,0.8586621807693793,0.9927247596863779,0.0,0.0
theta_OH_Pd,4.715696703598202e-10,0.8757308393459812,9.810947871795721e-09,0.00014039252424733468,0.4768278230370902,0.0,0.0
theta_empty_Pd,0.006370613847996414,0.8992731668338241,0.0071843098920599145,0.07532603340503358,0.8878401633164367,0.0,0.0
theta_OH_Ag,0.0011088809365301395,0.9984428719016474,0.00785012808206622,0.19137548833021098,0.9176410104082074,0.0,0.0
theta_empty_Ag,0.0015571280983523522,0.9988911190634698,0.08235898959179218,0.808624511669789,0.9921498719179338,0.0,0.0
rate_fraction_BF,0.01582679494269843,0.9999790888707589,0.12634910542381397,0.481739760047158,0.943720217041447,0.0,0.0
rate_fraction_ER,2.0228635227510712e-05,0.9792453415235425,0.0341900911842916,0.46065284490058794,0.8001991785430014,0.0,0.0
rate_fraction_LH,1.2886790792627473e-07,0.7133581755080737,1.9099003442406333e-06,0.0022461774764713214,0.4470584846348551,0.0,0.0
