control,reference_step_eV,comparison_step_eV,median_abs_difference,q999_abs_difference,max_abs_difference
CO_adsorption,0.0001,5e-05,8.077286826078999e-12,9.410920801636927e-08,2.0266926512024774e-07
BF,0.0001,5e-05,1.1687036124974348e-07,1.9081883446447895e-07,2.5133072545369117e-07
ER,0.0001,5e-05,1.0742153430665091e-07,1.8904886659287802e-07,2.5242186030283165e-07
LH,0.0001,5e-05,4.2953216387343895e-09,1.8962879470119095e-07,2.376340028087398e-07
