observable,n_points,median_abs_residual_q50,median_abs_standardized_residual_q50,posterior_95_contains_experimental_mean,median_chain_q50_range_over_exp_sd,p95_chain_q50_range_over_exp_sd,max_chain_q50_range_over_exp_sd
alpha,477,0.02810527039403249,2.422442316983553,0.36268343815513626,0.09066627640637479,0.44124187269618315,1.3369311958178995
delta_OH,152,0.08466430880802078,0.6993608790863123,0.3355263157894737,0.023142906492742685,0.05109286690219607,0.060934391198058505
delta_CO,354,0.28706332607015594,12.356157709141172,0.022598870056497175,0.026336679098152994,0.11945269727328207,0.4694204954716662
