,Ewe_RHE,Logj100a,Logj100b,Logj100c,Logj10a,Logj10b,Logj10c,Logj1a,Logj1b,Logj1c,Logjpt1a,Logjpt1b,Logjpt1c,CO_Order_overall,CO_Order_overall_std,CO_Order100x10,CO_Order100x10_std,CO_Order10x1,CO_Order10x1_std,CO_Order1xp1,CO_Order1xp1_std
0,0.5,0.8958391712686616,0.8621093690131665,0.6392533049946456,-0.06915223387611744,0.4168108148209436,-0.25127815658537234,-1.3286955948988748,-0.7100786040065825,-1.7844164813297072,-4.152822290198305,-1.3474880944388534,-2.386874017201753,0.5033868230934865,0.08068364637975989,0.333078015649687,0.09338799327736774,0.5674160340509589,0.16055989599000214,0.5883233492606559,0.38045021142337
1,0.5004904904904904,0.9025248110703267,0.8684269474115826,0.6308333502500844,-0.061209750044014834,0.4267703064909986,-0.24038583663084911,-1.2989460064497351,-0.7187355981481831,-1.7405026377153858,-3.907667232774369,-1.362012095841767,-2.48058135897494,0.4971151258872998,0.07392487022394881,0.3295731097832579,0.09419483427182741,0.5621737895007849,0.1549372636615332,0.5779122571733617,0.34476763500372737
2,0.500980980980981,0.9089397484830187,0.8745988004100087,0.6238471931568225,-0.05324807226468758,0.43637919999153024,-0.22946143035369793,-1.2713689238982775,-0.7255816673706122,-1.6999171318585595,-3.7523704360386128,-1.3729665518192762,-2.577039568101303,0.49480363640739966,0.06989076887865679,0.32625881399330525,0.0948990139542211,0.5574223846951298,0.1499206194672158,0.5798567944378535,0.3224654678957125
3,0.5014714714714714,0.9151082293498448,0.8806350863733649,0.6182315941991994,-0.04528486614785894,0.4456630162754067,-0.21852865980085256,-1.2457468349721064,-0.7307187141251047,-1.6622766438054573,-3.6525586177145755,-1.3805274341606821,-2.67667555777375,0.49497702019029555,0.06761090366488873,0.323133250882133,0.09549945645315966,0.5530872952106566,0.1454416507745101,0.5893404228046434,0.3088113141551889
4,0.501961961961962,0.9210527938425405,0.8865453960743002,0.6139201295976332,-0.03733549080101063,0.45464553540300895,-0.20760854277443946,-1.2218892538226367,-0.7342522276128494,-1.627255932074341,-3.591705257241402,-1.384898218208753,-2.7800124911136126,0.49694148659288195,0.06661740801487691,0.3201932796340794,0.09599690022112296,0.5491073094147456,0.1414399901614821,0.6041352631225332,0.30149258859668565
5,0.5024524524524524,0.9267944060079575,0.8923387819246875,0.610844038342038,-0.029413651736261422,0.46334897045979556,-0.19671963505017995,-1.199628066302771,-0.736290634793733,-1.5945752959778867,-3.5608843167620012,-1.3863034061656416,-2.887705169879406,0.5003408291424841,0.06665126447738198,0.31743474602713984,0.0963935913276284,0.5454318412540695,0.13786196690420752,0.6231255627757147,0.2992029661075892
6,0.502942942942943,0.9323525010161027,0.8980237871683545,0.6089329121133163,-0.021531343390935896,0.47179405925394396,-0.1858780985487007,-1.1788143993163354,-0.7369431528744516,-1.5639927000891674,-3.555061575552413,-1.3849818493939063,-3.0005774673260137,0.5049965399533489,0.06755868794389051,0.3148525816484835,0.0966929732759789,0.5420190377887798,0.13465992609409333,0.6457771678109725,0.30113991971642856
7,0.5034334334334334,0.937745173116179,0.9036084820630257,0.6081156385916985,-0.013698861070585069,0.48000018422145274,-0.17509795749060922,-1.1593151361420406,-0.7363186709163964,-1.5352974493584153,-3.5715260880499473,-1.381180209566307,-3.119684665489636,0.5108420024675102,0.06924918351816754,0.3124409943527512,0.09689942448841025,0.5388341757563785,0.13179157195742686,0.6719201128637783,0.3067994888449117
8,0.5039239239239239,0.9429892387962957,0.9091004851502805,0.6083209563241037,-0.005925172113379023,0.4879854854119871,-0.1643913802285856,-1.1410112296477783,-0.7345248857262635,-1.5083038640151591,-3.60919305311699,-1.3751479854612625,-3.246400845056887,0.5178956862155683,0.07167824173556565,0.3101936389843261,0.09701806094810578,0.5358482984655828,0.12921928508414576,0.7016609171134581,0.3158898523701221
9,0.5044144144144144,0.9481003076816464,0.9145069869096619,0.6094780410512447,0.0017822233147025523,0.4957669331022561,-0.15376858616804956,-1.123795338484609,-0.7316667258382359,-1.4828482101296856,-3.6683526484020614,-1.367131611458961,-3.3825587634631114,0.5262559898757455,0.07484243799713014,0.3081036718062849,0.09705450919916304,0.5330372452401064,0.1269097507851905,0.735366634126058,0.32830352842713395
