,Ewe_a_100,Ewe_a_10,Ewe_a_1,Ewe_a_pt1,alpha100_1000mean,alpha100_1000stddev,alpha10_1000mean,alpha10_1000stddev,alpha1_1000mean,alpha1_1000stddev,alphapt1_1000mean,alphapt1_1000stddev,alpha100_500mean,alpha100_500stddev,alpha10_500mean,alpha10_500stddev,alpha1_500mean,alpha1_500stddev,alphapt1_500mean,alphapt1_500stddev,alpha100_250mean,alpha100_250stddev,alpha10_250mean,alpha10_250stddev,alpha1_250mean,alpha1_250stddev,alphapt1_250mean,alphapt1_250stddev
407,0.884578823,0.888151315,0.890412627,0.891788238,0.10037471,0.008160548,0.068091324,0.010972946,-0.024823916,0.007133764,-0.189085735,0.018645153,0.112404828,0.021675302,0.081438941,0.008600469,-0.002408811,0.016263065,-0.203453955,0.02145129,0.112664282,0.026559987,0.088035387,0.002949755,0.020333146,0.005362317,-0.183851635,0.014379214
408,0.885528374,0.889110787,0.891387158,0.892789644,0.099013493,0.004185353,0.06182893,0.003155614,-0.02643541,0.006838439,-0.18491116,0.031581604,0.112830527,0.024411973,0.088539432,0.008489288,-0.003407883,0.021269234,-0.212758414,0.025453447,0.108120022,0.031247091,0.083048604,0.014136124,0.027518919,0.0075498,-0.190936026,0.009374873
409,0.886491881,0.890114762,0.89240881,0.893812357,0.099104416,0.005178344,0.061723942,0.00181486,-0.029129996,0.007250677,-0.199569187,0.014747212,0.117085558,0.018539681,0.074370204,0.019568247,-0.008195437,0.019759308,-0.213126449,0.038927387,0.112563113,0.024800314,0.102151845,0.028444679,0.01632797,0.007452719,-0.187109129,0.022727057
410,0.887602921,0.891074881,0.893451857,0.894820216,0.092674611,0.010803401,0.063694523,0.008838205,-0.033683669,0.0068561,-0.201878547,0.02177514,0.109888877,0.024127831,0.091602027,0.006303808,-0.012649374,0.016656178,-0.217416755,0.023042571,0.106727357,0.030594732,0.083277856,0.009497362,0.01143792,0.006420144,-0.207287817,0.018467079
411,0.888518458,0.892083491,0.894427214,0.895786758,0.099953782,0.006212699,0.05791792,0.001392839,-0.035839086,0.007502953,-0.204759799,0.036530251,0.110544353,0.021651074,0.073487725,0.015026902,-0.018379569,0.015864794,-0.21549937,0.025607055,0.112686834,0.022699437,0.07801108,0.010320401,0.007384223,0.007491558,-0.198551733,0.011430386
412,0.889554344,0.893060038,0.895455265,0.896776667,0.089516138,0.01056065,0.054494647,0.000241075,-0.040948676,0.008206367,-0.203889201,0.030359564,0.1064544,0.029330433,0.077867258,0.016549804,-0.021161264,0.017890889,-0.230448572,0.026823704,0.109941818,0.031753807,0.089661479,0.009337272,0.004276975,0.006187816,-0.209428844,0.013133098
413,0.890522805,0.89404425,0.896455986,0.897831239,0.095657613,0.011595784,0.058189866,0.010584672,-0.044227108,0.005719556,-0.207600042,0.025468781,0.110045955,0.030091032,0.065625618,0.014308164,-0.025098999,0.018087012,-0.222746034,0.045890243,0.113206199,0.028752268,0.074358609,0.007242816,0.003678738,0.008847573,-0.181407564,0.014969226
414,0.891455272,0.89500768,0.897436991,0.898797279,0.093680565,0.006437573,0.054791247,0.003858846,-0.048135751,0.008835935,-0.222789923,0.041572526,0.105939673,0.025487645,0.078630287,0.016591408,-0.029933868,0.017604246,-0.237071306,0.03318587,0.104431643,0.028862085,0.073412981,0.0125548,-0.002352012,0.006679922,-0.20948545,0.022292565
415,0.892461967,0.895955169,0.898522044,0.899796286,0.089297349,0.008565635,0.051882332,0.001563996,-0.054834113,0.012965807,-0.218819214,0.021877537,0.116018899,0.027027444,0.068456059,0.01234286,-0.031717347,0.018321028,-0.245374671,0.026512155,0.11432244,0.032383732,0.083575829,0.003434946,-0.003757903,0.009772371,-0.218104248,0.013926899
416,0.893430057,0.896981356,0.899441866,0.900825491,0.089416171,0.008529778,0.044514846,0.002966943,-0.056324164,0.010056145,-0.223369289,0.032764708,0.106070804,0.020813819,0.073052739,0.010037835,-0.03622268,0.018331779,-0.255626639,0.03296805,0.102202472,0.026161489,0.074376461,0.009266045,-0.006348364,0.009886786,-0.230519483,0.007836532
