      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 19:19:23  -159492.368131*       1.9449
FIRE:    1 19:24:24  -159492.414268*       1.2990
FIRE:    2 19:30:03  -159492.467232*       1.2030
FIRE:    3 19:35:00  -159492.526912*       0.7071
FIRE:    4 19:40:31  -159492.565175*       0.8941
FIRE:    5 19:47:24  -159492.604187*       0.6475
FIRE:    6 19:53:53  -159492.633516*       0.6331
FIRE:    7 19:59:05  -159492.660219*       0.5251
FIRE:    8 20:04:07  -159492.677357*       0.6147
FIRE:    9 20:09:33  -159492.690864*       0.2810
FIRE:   10 20:13:11  -159492.691716*       0.1936
FIRE:   11 20:18:33  -159492.692840*       0.1950
FIRE:   12 20:22:03  -159492.693970*       0.1725
FIRE:   13 20:25:32  -159492.695266*       0.2236
FIRE:   14 20:30:00  -159492.696890*       0.1830
FIRE:   15 20:34:40  -159492.698518*       0.0901
FIRE:   16 20:39:03  -159492.699684*       0.1260
FIRE:   17 20:43:36  -159492.700645*       0.1731
FIRE:   18 20:47:29  -159492.701598*       0.0888
FIRE:   19 20:53:21  -159492.702073*       0.1475
FIRE:   20 20:56:18  -159492.702129*       0.1230
FIRE:   21 20:59:11  -159492.702224*       0.1326
FIRE:   22 21:02:40  -159492.702346*       0.0821
FIRE:   23 21:05:34  -159492.702454*       0.0661
FIRE:   24 21:09:06  -159492.702571*       0.0898
FIRE:   25 21:11:55  -159492.702699*       0.1040
FIRE:   26 21:16:37  -159492.702873*       0.0982
FIRE:   27 21:20:01  -159492.703066*       0.0720
FIRE:   28 21:24:21  -159492.703277*       0.0683
FIRE:   29 21:29:13  -159492.703495*       0.0892
FIRE:   30 21:32:25  -159492.703748*       0.1133
FIRE:   31 21:36:52  -159492.704092*       0.0801
FIRE:   32 21:40:23  -159492.704448*       0.0514
FIRE:   33 21:44:08  -159492.704820*       0.0830
FIRE:   34 21:48:52  -159492.705290*       0.0599
FIRE:   35 21:52:32  -159492.705818*       0.0729
FIRE:   36 21:56:03  -159492.706399*       0.0845
FIRE:   37 22:00:27  -159492.707077*       0.0696
FIRE:   38 22:04:45  -159492.707786*       0.0508
FIRE:   39 22:08:56  -159492.708537*       0.0949
FIRE:   40 22:13:51  -159492.709438*       0.0788
FIRE:   41 22:18:31  -159492.710469*       0.0844
FIRE:   42 22:23:20  -159492.711573*       0.0956
FIRE:   43 22:28:28  -159492.712344*       0.2372
FIRE:   44 22:31:29  -159492.712837*       0.0786
FIRE:   45 22:35:32  -159492.712587*       0.2162
FIRE:   46 22:37:52  -159492.712769*       0.1601
FIRE:   47 22:41:51  -159492.712962*       0.0769
FIRE:   48 22:46:04  -159492.713003*       0.0779
FIRE:   49 22:48:45  -159492.713010*       0.0804
FIRE:   50 22:51:28  -159492.713019*       0.0956
FIRE:   51 22:54:23  -159492.713030*       0.0421
