parameter,prior_mean,prior_sd,prior_q025,prior_q50,prior_q975,lower,upper,posterior_mean,posterior_sd,posterior_q025,posterior_q50,posterior_q975,sd_ratio_posterior_over_prior,interval_ratio_posterior_over_prior
deltaG1_0,-0.4,0.2,-0.7919927969080109,-0.4,-0.008007203091989212,,,-0.12484720941571878,0.0010273725900808086,-0.1268625832186618,-0.12482256597203847,-0.12281589358669115,0.005136862950404043,0.005161688765572267
deltaG4_0,0.0,0.2,-0.3919927969080109,0.0,0.3919927969080108,,,0.14439048479232613,0.008464422154766962,0.1307210920181239,0.143579639234029,0.16208920937601415,0.04232211077383481,0.04001108898596856
deltaG5_0,0.0,0.2,-0.3919927969080109,0.0,0.3919927969080108,,,0.027677235864970253,0.0045883711242885716,0.019241446388083144,0.027474753620536717,0.037156932625106213,0.022941855621442856,0.022851805413694
beta_2,0.5,0.2886751345948129,0.025,0.5,0.975,0.0,1.0,0.11921210606311639,0.03893522083536245,0.03619111368431802,0.12182254580862753,0.18948465632076691,0.1348755613815242,0.16136162382784094
q,0.5,0.2886751345948129,0.025,0.5,0.975,0.0,1.0,0.3030640823517082,0.030723379853619493,0.2424684646516713,0.302895804203606,0.36365326679444865,0.10642890977341402,0.12756294962397616
Gact2_0,0.700174577150731,0.19969417997855315,0.3087804271393961,0.7000583114635273,1.0920127003633506,0.0,inf,0.6688319787711453,0.0039724879706903166,0.660605473085555,0.6689785723299437,0.6761860542030876,0.019892858024790485,0.019892669965449233
