variable,index,mean,sd,q025,q50,q975
sigma_ln_rate_material,"(0,)",0.42891963137428524,0.007844544143016764,0.4137633068556863,0.42892090157596385,0.4448280282928737
sigma_ln_rate_setup_material,"(0,)",0.07562758098733377,0.026937457293838275,0.03783652335716325,0.07054535435823049,0.14184379339782577
