      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 02:28:50  -128541.707293*       0.6363
FIRE:    1 02:33:20  -128541.707321*       0.6438
FIRE:    2 02:36:12  -128541.708870*       0.3322
FIRE:    3 02:40:09  -128541.709381*       0.1658
FIRE:    4 02:42:50  -128541.709424*       0.1405
FIRE:    5 02:44:58  -128541.709485*       0.1143
FIRE:    6 02:47:48  -128541.709552*       0.1013
FIRE:    7 02:51:01  -128541.709610*       0.0595
FIRE:    8 02:55:18  -128541.709663*       0.0715
FIRE:    9 02:58:27  -128541.709714*       0.0970
FIRE:   10 03:03:20  -128541.709782*       0.1084
FIRE:   11 03:07:31  -128541.709883*       0.0985
FIRE:   12 03:11:24  -128541.710001*       0.0623
FIRE:   13 03:16:01  -128541.710144*       0.0618
FIRE:   14 03:21:17  -128541.710270*       0.0604
FIRE:   15 03:25:03  -128541.710390*       0.0735
FIRE:   16 03:30:56  -128541.710560*       0.0579
FIRE:   17 03:35:47  -128541.710711*       0.0382
