      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 02:34:42  -128542.886001*       0.8424
FIRE:    1 02:40:42  -128542.886926*       0.7266
FIRE:    2 02:46:18  -128542.888869*       0.4219
FIRE:    3 02:53:04  -128542.889764*       0.1516
FIRE:    4 02:55:23  -128542.889796*       0.1462
FIRE:    5 02:59:07  -128542.889878*       0.1259
FIRE:    6 03:01:36  -128542.889977*       0.0784
FIRE:    7 03:04:11  -128542.890065*       0.0517
FIRE:    8 03:08:32  -128542.890162*       0.0665
FIRE:    9 03:12:51  -128542.890250*       0.0935
FIRE:   10 03:16:37  -128542.890348*       0.1034
FIRE:   11 03:22:03  -128542.890490*       0.0963
FIRE:   12 03:26:09  -128542.890651*       0.0716
FIRE:   13 03:30:41  -128542.890847*       0.0625
FIRE:   14 03:36:00  -128542.891020*       0.0571
FIRE:   15 03:40:31  -128542.891184*       0.0655
FIRE:   16 03:45:19  -128542.891367*       0.0515
FIRE:   17 03:48:54  -128542.891532*       0.0410
