material,n_observations,elpd_loo_contribution,mean_elpd_loo,max_pareto_k,n_pareto_k_above_0p7
Ag10Pd90,1431,-1966.4337898223025,-1.3741675680099947,0.28456170324775615,0
Ag25Pd75,1470,-987.0517834317126,-0.6714637982528657,0.03488152893112514,0
Ag50Pd50,1476,-844.830987782753,-0.5723787180099953,0.07339456940706729,0
Ag75Pd25,1476,-724.6420814949003,-0.49094991971199203,0.022027567228389146,0
Ag90Pd10,1476,-982.6014151647307,-0.6657191159652647,0.003045313877993793,0
Pd100,1464,-539.1239198530309,-0.36825404361545827,0.2033849932131943,0
