prior_profile_material,parameter,prior_mean,prior_sd,prior_q025,prior_q50,prior_q975,lower,upper,posterior_mean,posterior_sd,posterior_median,posterior_hdi95_lower,posterior_hdi95_upper,sd_ratio_posterior_over_prior,interval95_width_ratio_posterior_hdi_over_prior_central
Ag10Pd90,deltaG1_0,-0.25544204955095384,0.1002629099117318,-0.3940176679802982,-0.27217761782574545,-0.036790071351169185,-0.4,0.0,-0.12343404654867682,0.0006343516507652835,-0.12342659324320042,-0.12469169985829916,-0.12221533200841408,0.00632688250643978,0.006932185176208597
Ag10Pd90,deltaG4_0,0.0,0.2,-0.3919927969080109,0.0,0.3919927969080108,,,0.0990064185566931,0.0024128012836382366,0.09905241023134202,0.09405938260484116,0.1033830942956281,0.012064006418191182,0.011892707932813036
Ag10Pd90,deltaG5_0,0.0,0.2,-0.3919927969080109,0.0,0.3919927969080108,,,-0.01230449495543706,0.0021621281436528333,-0.012224598947440182,-0.01680836206499593,-0.008509542999119551,0.010810640718264165,0.010585422909982534
Ag10Pd90,beta_2_BF,0.05,0.02886751345948129,0.0025000000000000005,0.05,0.0975,0.0,0.1,0.0015219207370449014,0.0014920876649982331,0.0010698432202106366,4.469088406657236e-07,0.004552737680803188,0.051687432902474996,0.04791885023118445
Ag10Pd90,beta_2_ER,0.5,0.2886751345948129,0.025,0.5,0.975,0.0,1.0,0.31803335405120337,0.0023306815679528694,0.3180596559032828,0.3136471771876622,0.3225986461117055,0.008073717783917328,0.009422598867414004
Ag10Pd90,q,0.5,0.2886751345948129,0.025,0.5,0.975,0.0,1.0,0.3433011313017301,0.004809551016285515,0.34319650032470317,0.3339693880486457,0.3527921636575934,0.01666077344360208,0.019813448009418675
Ag10Pd90,Gact1_0,0.6724222068303695,0.17543958829484219,0.3029438897691983,0.6832928186785808,0.9679895017160765,0.0,1.0,0.5724756838060912,0.003636211103591277,0.5727796988735001,0.5653946344865897,0.5791363529858984,0.020726286118959044,0.020662821094452038
Ag10Pd90,Gact2_BF_0,0.7290374894305053,0.12894727700225228,0.5154115821656639,0.7230739771256242,0.9729438672906496,0.5,1.0,0.6908931513199398,0.0015115369612316927,0.6908662073834395,0.6878960563418631,0.6937477953108826,0.011722131683364598,0.012789783714215774
Ag10Pd90,Gact2_ER_0,0.6586737563876934,0.08313200565040962,0.5107224566908584,0.6622063535588449,0.7925020543946163,0.5,0.8,0.7569625952893551,0.0018994893664366181,0.7568816576255952,0.7533081754161506,0.7607353855738637,0.02284907421125426,0.026358225429512813
Ag10Pd90,Gact2_LH_0,0.7290374894305053,0.12894727700225228,0.5154115821656639,0.7230739771256242,0.9729438672906496,0.5,1.0,0.7354524266650233,0.0055684932288343845,0.7349380014911417,0.7253439005295854,0.7466343898568255,0.04318426381921288,0.04653330490420821
Ag10Pd90,deltaG1_0_xAg_slope,0.0,0.1,-0.19599639845400546,0.0,0.1959963984540054,,,0.045480450801235466,0.0012904770985286524,0.04546655084813779,0.04304636317645354,0.04789218991445168,0.012904770985286524,0.012362030058259749
Ag10Pd90,deltaG4_0_xAg_slope,0.0,0.1,-0.19599639845400546,0.0,0.1959963984540054,,,-0.053756916308381704,0.005025278868363915,-0.05370396260514562,-0.06359832030152139,-0.04418730857736043,0.050252788683639145,0.049518796970945744
Ag10Pd90,deltaG5_0_xAg_slope,0.005511270304138151,0.09412308339038533,-0.16728279355942494,0.002847721645508719,0.19692511974768037,-0.2,0.4,-0.030042470445867452,0.003589640437407994,-0.03004621677937129,-0.036807962714414916,-0.022694536933290377,0.03813772677335255,0.038751013543255705
Ag10Pd90,Gact2_BF_0_xAg_slope,0.005511270304138151,0.09412308339038533,-0.16728279355942494,0.002847721645508719,0.19692511974768037,-0.2,0.4,0.040532285384886964,0.002911536421182108,0.04056222315200993,0.035215711897394336,0.04656112187612663,0.030933287736720293,0.031150915628693873
Ag10Pd90,Gact2_ER_0_xAg_slope,0.0,0.1,-0.19599639845400546,0.0,0.1959963984540054,,,-0.02467553930559351,0.0038090358573408547,-0.024824028185911652,-0.03213990682066402,-0.017228386565935762,0.03809035857340855,0.038040291485834495
