variable,minimum,maximum,median,hdi95_lower,hdi95_upper,fraction_below_zero,fraction_above_one
theta_CO,0.0015890948135579457,0.9973124271440803,0.7599438710106119,0.05531014419350075,0.997167106793493,0.0,0.0
theta_OH_Pd,1.3976226527126814e-10,0.9569560164816039,0.0001437226269938918,1.3976226527126814e-10,0.3938176640789672,0.0,0.0
theta_empty_Pd,0.002687572646109471,0.9508749683534767,0.15232732753241915,0.002810800746100048,0.922716959316885,0.0,0.0
theta_OH_Ag,0.005450789184893603,0.9692971974632255,0.27576638294221334,0.00697142040914589,0.8622138717320771,0.0,0.0
theta_empty_Ag,0.030702802536774574,0.9945492108151065,0.7242336170577865,0.13778612826792289,0.993028579590854,0.0,0.0
rate_fraction_BF,0.0,0.9396445284629187,0.7871170965164179,0.0,0.9041606182253173,0.0,0.0
rate_fraction_ER,0.06035515241007421,0.9999999863382243,0.20410929967479707,0.09579401939438356,0.9999999863382243,0.0,0.0
rate_fraction_LH,3.1906586342482984e-09,0.6367832925755189,0.0001369703321683723,3.1906586342482984e-09,0.06139191939570696,0.0,0.0
