material,n_observations,mechanism_residual_mean,mechanism_residual_rms,conditional_residual_mean,conditional_residual_rms,median_abs_standardized_residual,predictive_95_hdi_coverage,median_lag1_residual_correlation,median_abs_residual_slope_per_V,median_shared_squared_residual_fraction
Ag10Pd90,1431,-0.686172938504054,0.8701345218330161,-0.686172938504054,0.8701345218330161,0.7444296761586264,0.9881201956673655,0.9985360148708609,2.5864117546271097,0.9918553837655125
Ag25Pd75,1470,0.1261663606057544,0.45285330881037317,0.1261663606057544,0.45285330881037317,0.6822212378785537,0.9537414965986395,0.9895319594492141,1.0061389000073775,0.82074567516295
Ag50Pd50,1476,-0.033912390713845546,0.3681300385581944,-0.033912390713845546,0.3681300385581944,0.7122582133861552,0.983739837398374,0.9874477048794983,0.9693640233676206,0.7547987886208787
Ag75Pd25,1476,0.044555334281787,0.3575444802337188,0.044555334281787,0.3575444802337188,0.7795607314385384,0.9803523035230353,0.9793569706033198,0.7009848502601725,0.9253843852877912
Ag90Pd10,1476,-0.06447408585654994,0.43449345003456985,-0.06447408585654994,0.43449345003456985,0.7276779061394183,0.9878048780487805,0.9782591689917439,0.6738178404340691,0.7743551874291783
Pd100,1464,0.014468326239875467,0.3425344687259953,0.014468326239875467,0.3425344687259953,0.6411213323686261,0.9460382513661202,0.992040461570369,0.978901105735427,0.8333431032324423
