balance,max_abs_error,q999_abs_error
Pd,2.6645352591003757e-15,2.220446049250313e-15
Ag,3.552713678800501e-15,3.219646771412954e-15
pathway_fraction_sum,2.731148640577885e-14,1.5210055437364645e-14
