model,rank,elpd_diff,dse,p_worse,diag_diff,diag_elpd,p,elpd,se,weight
CO_BF_ER_LH,0,0.0,0.0,,,,12.090150171351338,-807.3913952801979,17.748132733977016,1.0
BF_LH,1,-4.143661289549646,2.0390425045635214,0.9789312862831077,,,11.057650389241424,-811.5350565697476,17.705359765765262,1.5210055437364645e-14
BF,2,-17.323144023415722,3.9676216615045483,0.9999936765806554,,,10.674613926450643,-824.7145393036136,18.54488013823983,0.0
