comparison,numerator_model,denominator_model,elpd_difference,dse,mean_pointwise_difference,median_pointwise_difference,fraction_points_favoring_numerator,max_pointwise_gain,max_pointwise_loss
BF_minus_BF_LH,BF,BF_LH,-13.179482733866076,4.058087827100814,-0.009209980946097887,-0.005043321786564192,0.45772187281621246,0.40146533919085314,-0.9179066765619499
BF_minus_CO_BF_ER_LH,BF,CO_BF_ER_LH,-17.323144023415722,3.9690086993590166,-0.012105621260248584,-0.006639390139177692,0.4570230607966457,0.36278724728230216,-0.8633872269453118
BF_LH_minus_CO_BF_ER_LH,BF_LH,CO_BF_ER_LH,-4.143661289549646,2.039755331889811,-0.002895640314150696,-0.0029056709065446995,0.4605171208944794,0.2073725109568656,-0.3900143524060322
