model,elpd,se,p,n_samples,n_data_points,good_k,max_pareto_k,n_pareto_k_above_good_k,warning
CO_BF_ER_LH,-807.3913952801979,17.748132733977016,12.090150171351338,4000,1431,0.7,0.15442671294791413,0,False
BF_LH,-811.5350565697476,17.705359765765262,11.057650389241424,4000,1431,0.7,0.1750397894312756,0,False
BF,-824.7145393036136,18.54488013823983,10.674613926450643,4000,1431,0.7,0.3189623556899407,0,False
