      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 22:16:07  -131126.585589*       8.7709
FIRE:    1 22:20:44  -131127.285849*       2.8446
FIRE:    2 22:23:51  -131127.312192*       1.6828
FIRE:    3 22:28:07  -131127.335158*       1.4680
FIRE:    4 22:33:00  -131127.353288*       2.0918
FIRE:    5 22:37:17  -131127.384834*       2.0135
FIRE:    6 22:41:37  -131127.425171*       1.0725
FIRE:    7 22:45:37  -131127.450860*       1.0365
FIRE:    8 22:49:33  -131127.462396*       1.4191
FIRE:    9 22:53:22  -131127.472267*       0.5975
FIRE:   10 22:55:50  -131127.472842*       0.5114
FIRE:   11 22:58:13  -131127.473738*       0.3540
FIRE:   12 23:02:19  -131127.474657*       0.3003
FIRE:   13 23:06:08  -131127.475373*       0.2984
FIRE:   14 23:09:28  -131127.475988*       0.2991
FIRE:   15 23:12:20  -131127.476753*       0.3631
FIRE:   16 23:16:07  -131127.477776*       0.3357
FIRE:   17 23:20:29  -131127.479133*       0.2394
FIRE:   18 23:24:03  -131127.480556*       0.1332
FIRE:   19 23:28:10  -131127.481743*       0.1949
FIRE:   20 23:31:21  -131127.482898*       0.3192
FIRE:   21 23:34:36  -131127.484463*       0.2595
FIRE:   22 23:37:58  -131127.486117*       0.1141
FIRE:   23 23:41:28  -131127.487474*       0.3004
FIRE:   24 23:44:43  -131127.489237*       0.2511
FIRE:   25 23:48:59  -131127.491099*       0.1806
FIRE:   26 23:54:41  -131127.492822*       0.2409
FIRE:   27 23:58:31  -131127.494519*       0.1347
FIRE:   28 00:03:07  -131127.495660*       0.1004
FIRE:   29 00:06:45  -131127.496138*       0.2561
FIRE:   30 00:09:03  -131127.496355*       0.1450
FIRE:   31 00:11:45  -131127.496507*       0.0748
FIRE:   32 00:14:32  -131127.496521*       0.0692
FIRE:   33 00:16:20  -131127.496541*       0.1338
FIRE:   34 00:18:29  -131127.496573*       0.0610
FIRE:   35 00:22:19  -131127.496620*       0.0669
FIRE:   36 00:26:11  -131127.496671*       0.0622
FIRE:   37 00:29:40  -131127.496726*       0.0612
FIRE:   38 00:33:22  -131127.496787*       0.0511
FIRE:   39 00:36:08  -131127.496865*       0.0786
FIRE:   40 00:39:56  -131127.496954*       0.0427
