observable,n_points,median_abs_residual,median_abs_standardized_residual,posterior_95_hdi_contains_experimental_mean,median_chain_median_range_over_exp_sd,p95_chain_median_range_over_exp_sd,max_chain_median_range_over_exp_sd
alpha,492,0.031820818372119475,2.7695144098507773,0.15447154471544716,0.03888592642453857,0.37543895568938995,2.3807484751619428
delta_OH,164,0.09925351356310341,0.7771248187512166,0.1402439024390244,0.03435235840414891,0.08124404853221112,0.10040294626087062
delta_CO,369,0.19622886330983297,5.131342417397234,0.016260162601626018,0.015517873251271613,0.07168619081093593,0.2708560287325433
