      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 02:42:54  -128010.320657*       0.3560
FIRE:    1 02:46:13  -128010.320584*       0.3903
FIRE:    2 02:50:45  -128010.321110*       0.2124
FIRE:    3 02:54:47  -128010.321241*       0.1578
FIRE:    4 02:58:38  -128010.321254*       0.1257
FIRE:    5 03:01:20  -128010.321284*       0.0929
FIRE:    6 03:03:28  -128010.321309*       0.0861
FIRE:    7 03:05:55  -128010.321345*       0.0592
FIRE:    8 03:09:16  -128010.321382*       0.0730
FIRE:    9 03:11:18  -128010.321408*       0.0966
FIRE:   10 03:15:15  -128010.321448*       0.1092
FIRE:   11 03:20:22  -128010.321501*       0.1062
FIRE:   12 03:25:06  -128010.321573*       0.0843
FIRE:   13 03:29:18  -128010.321654*       0.0452
