material,variable,mean_reference,sd_reference,median_reference,hdi95_lower_reference,hdi95_upper_reference,mean_candidate,sd_candidate,median_candidate,hdi95_lower_candidate,hdi95_upper_candidate,mean_difference_candidate_minus_reference,mean_ratio_candidate_over_reference,sd_difference_candidate_minus_reference,sd_ratio_candidate_over_reference,median_difference_candidate_minus_reference,median_ratio_candidate_over_reference,hdi95_lower_difference_candidate_minus_reference,hdi95_lower_ratio_candidate_over_reference,hdi95_upper_difference_candidate_minus_reference,hdi95_upper_ratio_candidate_over_reference
Ag10Pd90,sigma_ln_rate_material,0.866607596610364,0.0202498711913844,0.8664026481600383,0.8281094283636566,0.9062010802859344,1.0058326961428423,0.0192938940522751,1.0052408066732277,0.9684832042845868,1.044204036749365,0.1392250995324783,1.1606552955190346,-0.0009559771391093007,0.9527909520967207,0.13883815851318937,1.1602466922371915,0.14037377592093014,1.169511143229354,0.13800295646343064,1.1522873449012954
Ag25Pd75,sigma_ln_rate_material,0.8045005027333112,0.0166776844844094,0.8042871733907582,0.7735366855167908,0.8381483739075192,0.6818672101979937,0.0139718196614789,0.6813252204096709,0.6556323336950338,0.7093276823053518,-0.12263329253531752,0.8475659218127674,-0.0027058648229305003,0.8377553655329076,-0.12296195298108725,0.84711685446543,-0.11790435182175696,0.8475775563986516,-0.12882069160216736,0.8463032374547309
Ag50Pd50,sigma_ln_rate_material,0.4674976312244208,0.0101663460326244,0.4673753633502372,0.447342706856954,0.4866738411788663,0.4010396178686572,0.0078722557245656,0.4009544291001257,0.3855560922626988,0.4166721516097573,-0.06645801335576357,0.8578431014041639,-0.0022940903080587993,0.7743446563104454,-0.06642093425011153,0.8578852471512546,-0.06178661459425516,0.8618808049238801,-0.07000168956910902,0.8561630323102132
Ag75Pd25,sigma_ln_rate_material,0.3711200282552375,0.0070381316703214,0.3709592946987999,0.3573354071736975,0.3847122115842506,0.3565008403315891,0.0070901619061774,0.3563346729897203,0.3427124505805906,0.3703235627846525,-0.014619187923648413,0.9606079251707912,5.2030235855999446e-05,1.0073926204130852,-0.014624621709079577,0.960576208985533,-0.014622956593106917,0.959077784346182,-0.014388648799598114,0.9625989288451607
Ag90Pd10,sigma_ln_rate_material,0.5694592245696817,0.0119046215778904,0.569078514887891,0.5455021388580708,0.5924617767336663,0.6077221312354688,0.0127077474791043,0.6074192662490769,0.5826369157460171,0.6324103822578262,0.03826290666578713,1.0671916530892989,0.0008031259012139004,1.0674633709235655,0.038340751361185976,1.067373394633848,0.03713477688794631,1.0680744844844836,0.03994860552415991,1.067428156706417
Pd100,sigma_ln_rate_material,4.032927915653237,0.0880369632941107,4.028705823216075,3.87454801623322,4.214481258516628,0.383032194001735,0.007503647492103,0.3827807079921446,0.3686674640199183,0.3972628076001977,-3.6498957216515016,0.09497620637231079,-0.0805333158020077,0.08523292048403676,-3.645925115223931,0.09501331811975654,-3.5058805522133016,0.09515108923035918,-3.81721845091643,0.0942613771973499
