scope,material,reference_model,candidate_model,n_observations,reference_elpd,candidate_elpd,delta_elpd_candidate_minus_reference,se_delta_elpd,delta_elpd_over_se,mean_pointwise_delta_elpd,fraction_points_favoring_candidate
overall,,BF_LH,CO_BF_ER_LH,8793,-10588.446115207542,-6921.17667088069,3667.269444326851,98.84723738493098,37.100373681115315,0.4170669219068408,0.597520755146139
material,Ag10Pd90,BF_LH,CO_BF_ER_LH,1431,-1827.3178635773895,-2039.8398181428452,-212.52195456545599,19.143170807175526,-11.101711242413161,-0.14851289627215652,0.21733053808525507
material,Ag25Pd75,BF_LH,CO_BF_ER_LH,1470,-1767.1839661823337,-1524.7101574879985,242.47380869433528,16.187602527645147,14.978982111788271,0.16494816917981991,0.7510204081632653
material,Ag50Pd50,BF_LH,CO_BF_ER_LH,1476,-973.962262662288,-746.9794588859706,226.98280377631733,23.405238743504256,9.697948662852786,0.1537823873823288,0.6917344173441734
material,Ag75Pd25,BF_LH,CO_BF_ER_LH,1476,-633.4392964228643,-573.5625336282955,59.87676279456892,22.088949440969877,2.7107112067317884,0.040566912462445065,0.5345528455284553
material,Ag90Pd10,BF_LH,CO_BF_ER_LH,1476,-1264.7689562119226,-1360.6549727217016,-95.88601650977922,14.855792011081375,-6.454453349794814,-0.06496342581963362,0.3956639566395664
material,Pd100,BF_LH,CO_BF_ER_LH,1464,-4121.773770150743,-675.4297300138785,3446.3440401368653,34.4719485705794,99.97531857187207,2.354060136705509,0.9870218579234973
