material,observable,median_abs_residual_reference,median_abs_standardized_residual_reference,posterior_95_hdi_contains_experimental_mean_reference,median_abs_residual_candidate,median_abs_standardized_residual_candidate,posterior_95_hdi_contains_experimental_mean_candidate,median_abs_residual_difference_candidate_minus_reference,median_abs_residual_ratio_candidate_over_reference,median_abs_standardized_residual_difference_candidate_minus_reference,median_abs_standardized_residual_ratio_candidate_over_reference,posterior_95_hdi_contains_experimental_mean_difference_candidate_minus_reference,posterior_95_hdi_contains_experimental_mean_ratio_candidate_over_reference
Ag10Pd90,alpha,0.0990814584803335,11.503506963807045,0.0335429769392033,0.0753385170180225,6.9402995291923935,0.020964360587002,-0.023742941462311012,0.7603694795527893,-4.563207434614651,0.6033203223180843,-0.0125786163522013,0.6249999999999981
Ag10Pd90,delta_OH,0.1986272150005316,2.107228049736221,0.0328947368421052,0.1365289263961731,1.4810267967210775,0.0263157894736842,-0.06209828860435851,0.6873626375711288,-0.6262012530151435,0.7028317589576837,-0.006578947368421,0.8000000000000012
Ag10Pd90,delta_CO,0.336633509693395,15.621920506884493,0.0028248587570621,0.2762209957018054,15.40175484892278,0.0084745762711864,-0.06041251399158959,0.8205392147483679,-0.22016565796171328,0.9859066202606339,0.005649717514124301,3.0000000000000355
Ag25Pd75,alpha,0.0615772235470463,4.791798093099265,0.0591836734693877,0.0389278149507328,2.99565554402382,0.0693877551020408,-0.022649408596313494,0.6321787945016899,-1.7961425490754452,0.6251631403956491,0.0102040816326531,1.172413793103449
Ag25Pd75,delta_OH,0.2097657640805074,1.2142367732512969,0.0246913580246913,0.2001610178687395,1.0102643836927303,0.0,-0.009604746211767906,0.9542120409692707,-0.20397238955856656,0.8320159675180974,-0.0246913580246913,0.0
Ag25Pd75,delta_CO,0.2181364389338093,8.231269988477997,0.0027247956403269,0.2076514262754999,5.799096384550584,0.0163487738419618,-0.010485012658309395,0.9519336947574772,-2.4321736039274136,0.7045202493258109,0.0136239782016349,6.0000000000001465
Ag50Pd50,alpha,0.046621045175637,2.2371787294603607,0.0792682926829268,0.0335067689466563,1.924703568588176,0.1016260162601626,-0.013114276228980697,0.7187047999551521,-0.31247516087218474,0.86032624181638,0.022357723577235797,1.2820512820512824
Ag50Pd50,delta_OH,0.1936082278835765,1.193001325495224,0.1036585365853658,0.1874653780132207,1.1170926609444578,0.024390243902439,-0.006142849870355821,0.9682717519936718,-0.07590866455076628,0.9363716846506805,-0.07926829268292679,0.23529411764705874
Ag50Pd50,delta_CO,0.182841648758272,4.825501128034248,0.037940379403794,0.1756351777363322,4.610724593486649,0.029810298102981,-0.007206471021939803,0.9605862719414262,-0.2147765345475987,0.955491351292028,-0.008130081300813,0.7857142857142857
Ag75Pd25,alpha,0.0284069922860336,2.767256027652496,0.0955284552845528,0.0297373653162531,2.5511325807806102,0.1361788617886178,0.0013303730302194998,1.0468325902588984,-0.21612344687188578,0.9218997285714736,0.040650406504065,1.4255319148936167
Ag75Pd25,delta_OH,0.1086107220049596,0.7697304937449287,0.0609756097560975,0.0691135898141271,0.5167711056849782,0.1341463414634146,-0.03949713219083249,0.6363422371040964,-0.25295938805995055,0.6713662897396195,0.07317073170731708,2.2000000000000015
Ag75Pd25,delta_CO,0.194718977099021,4.86621624287334,0.008130081300813,0.1921758836852901,5.877737283089038,0.043360433604336,-0.002543093413730907,0.9869396735150388,1.0115210402156984,1.207866027675422,0.035230352303523005,5.333333333333333
Ag90Pd10,alpha,0.046207095314046,4.476435128376044,0.0528455284552845,0.047205960569881,4.429035892992558,0.0955284552845528,0.0009988652558350006,1.0216171401609693,-0.04739923538348645,0.9894113878512338,0.042682926829268296,1.8076923076923086
Ag90Pd10,delta_OH,0.1197166895840287,0.4153151966345615,0.1036585365853658,0.0983356334107273,0.3267748060854987,0.0426829268292682,-0.021381056173301397,0.8214028783489363,-0.08854039054906282,0.7868115800564599,-0.060975609756097594,0.41176470588235226
Ag90Pd10,delta_CO,0.2310867741022152,6.22084976552219,0.008130081300813,0.2180746773107809,6.4257428748743575,0.002710027100271,-0.013012096791434308,0.9436917286071995,0.20489310935216754,1.0329365146362715,-0.005420054200542,0.3333333333333333
Pd100,alpha,0.648267771222636,33.96191893219725,0.0102459016393442,0.0435186544846323,2.0821428574178,0.0635245901639344,-0.6047491167380037,0.06713067719309247,-31.87977607477945,0.06130816287426697,0.053278688524590195,6.200000000000035
Pd100,delta_OH,0.1696441501662164,1.1618563942043991,0.0062111801242236,0.1000047160083488,0.8167715706892278,0.0124223602484472,-0.0696394341578676,0.5894969906735054,-0.34508482351517134,0.7029884026661711,0.0062111801242236,2.0
Pd100,delta_CO,0.5911144735542118,18.422892501039037,0.0054794520547945,0.1828932237027463,4.942965972698306,0.0082191780821917,-0.40822124985146546,0.30940406957565886,-13.47992652834073,0.26830564051869304,0.0027397260273972004,1.499999999999991
