      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 18:24:27  -156197.162672*       0.8341
FIRE:    1 18:29:50  -156197.174222*       0.6376
FIRE:    2 18:36:33  -156197.188844*       0.4074
FIRE:    3 18:43:13  -156197.199172*       0.1925
FIRE:    4 18:51:10  -156197.202146*       0.2272
FIRE:    5 18:55:06  -156197.202451*       0.1778
FIRE:    6 19:01:17  -156197.202895*       0.1707
FIRE:    7 19:07:24  -156197.203447*       0.1536
FIRE:    8 19:12:33  -156197.204041*       0.1861
FIRE:    9 19:18:42  -156197.204743*       0.1955
FIRE:   10 19:23:16  -156197.205572*       0.1815
FIRE:   11 19:29:55  -156197.206440*       0.1398
FIRE:   12 19:35:53  -156197.207357*       0.1269
FIRE:   13 19:40:52  -156197.208299*       0.1724
FIRE:   14 19:45:39  -156197.209443*       0.1547
FIRE:   15 19:50:57  -156197.210753*       0.1051
FIRE:   16 19:56:58  -156197.212144*       0.1454
FIRE:   17 20:03:15  -156197.213811*       0.1146
FIRE:   18 20:09:08  -156197.215666*       0.1144
FIRE:   19 20:14:14  -156197.217757*       0.1249
FIRE:   20 20:20:37  -156197.219928*       0.1215
FIRE:   21 20:26:44  -156197.222198*       0.0754
FIRE:   22 20:32:58  -156197.224573*       0.0675
FIRE:   23 20:39:06  -156197.227027*       0.1001
FIRE:   24 20:46:04  -156197.229018*       0.2022
FIRE:   25 20:52:13  -156197.229292*       0.4175
FIRE:   26 20:59:50  -156197.230991*       0.0534
FIRE:   27 21:04:11  -156197.229889*       0.3491
FIRE:   28 21:07:08  -156197.230362*       0.2566
FIRE:   29 21:10:09  -156197.230893*       0.1390
FIRE:   30 21:13:32  -156197.231123*       0.0404
