,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
deltaG1_0,3100.0,2700.0,1.0,1.6e-05,1.2e-05
deltaG4_0,2300.0,2500.0,1.0,6.4e-05,4.5e-05
deltaG5_0,2100.0,2400.0,1.0,5.9e-05,4e-05
beta_2,2600.0,2000.0,1.0,0.00032,0.00022
q,2200.0,2400.0,1.0,0.00032,0.00022
Gact2_BF_0,2300.0,2300.0,1.0,2.7e-05,1.9e-05
Gact2_LH_0,3400.0,2800.0,1.0,0.002,0.0017
sigma_ln_rate_material[Ag90Pd10],5100.0,2600.0,1.0,9.6e-05,6.7e-05
sigma_ln_rate_setup_material[Ag90Pd10],1800.0,2100.0,1.0,0.0013,0.0015
z_ln_rate_setup[material=Ag90Pd10 | electrolyte_concentration_M=0.25 | replicate=A],2900.0,2400.0,1.0,0.011,0.008
z_ln_rate_setup[material=Ag90Pd10 | electrolyte_concentration_M=0.25 | replicate=B],2800.0,2300.0,1.0,0.012,0.0087
z_ln_rate_setup[material=Ag90Pd10 | electrolyte_concentration_M=0.25 | replicate=C],2400.0,2200.0,1.0,0.015,0.011
z_ln_rate_setup[material=Ag90Pd10 | electrolyte_concentration_M=0.5 | replicate=A],2400.0,2300.0,1.0,0.012,0.0091
z_ln_rate_setup[material=Ag90Pd10 | electrolyte_concentration_M=0.5 | replicate=B],2500.0,2500.0,1.0,0.012,0.0082
z_ln_rate_setup[material=Ag90Pd10 | electrolyte_concentration_M=0.5 | replicate=C],2400.0,2700.0,1.0,0.012,0.0086
z_ln_rate_setup[material=Ag90Pd10 | electrolyte_concentration_M=1.0 | replicate=A],2600.0,2400.0,1.0,0.011,0.0079
z_ln_rate_setup[material=Ag90Pd10 | electrolyte_concentration_M=1.0 | replicate=B],2800.0,2300.0,1.0,0.011,0.0076
z_ln_rate_setup[material=Ag90Pd10 | electrolyte_concentration_M=1.0 | replicate=C],2600.0,2200.0,1.0,0.012,0.0085
