      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 21:15:28  -156324.819192*       1.0250
FIRE:    1 21:22:33  -156324.820744*       0.8701
FIRE:    2 21:26:05  -156324.823442*       0.5341
FIRE:    3 21:31:58  -156324.824824*       0.1814
FIRE:    4 21:34:17  -156324.824874*       0.1826
FIRE:    5 21:37:34  -156324.824965*       0.1562
FIRE:    6 21:40:34  -156324.825088*       0.1505
FIRE:    7 21:43:40  -156324.825226*       0.1365
FIRE:    8 21:48:08  -156324.825369*       0.0967
FIRE:    9 21:52:34  -156324.825518*       0.1176
FIRE:   10 21:56:55  -156324.825687*       0.1148
FIRE:   11 22:03:43  -156324.825871*       0.1033
FIRE:   12 22:09:15  -156324.826075*       0.0702
FIRE:   13 22:13:06  -156324.826274*       0.0704
FIRE:   14 22:19:25  -156324.826452*       0.0869
FIRE:   15 22:24:39  -156324.826622*       0.0828
FIRE:   16 22:29:10  -156324.826806*       0.0680
FIRE:   17 22:35:55  -156324.826962*       0.0596
FIRE:   18 22:41:42  -156324.827106*       0.1015
FIRE:   19 22:48:30  -156324.827310*       0.0750
FIRE:   20 22:52:42  -156324.827532*       0.0603
FIRE:   21 22:57:57  -156324.827551*       0.0515
FIRE:   22 23:01:12  -156324.827559*       0.0400
