,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
deltaG1_0,2100.0,2200.0,1.0,2.2e-05,1.6e-05
deltaG4_0,1400.0,1700.0,1.0,9e-05,6.5e-05
deltaG5_0,1100.0,1300.0,1.0,9.6e-05,6.6e-05
beta_2,1300.0,1300.0,1.0,0.00049,0.00034
q,1200.0,1500.0,1.0,0.00047,0.00034
Gact2_BF_0,1100.0,1500.0,1.0,4.4e-05,3e-05
Gact2_LH_0,2800.0,2400.0,1.0,0.0024,0.0019
sigma_ln_rate_material[Ag90Pd10],5100.0,2700.0,1.0,0.00011,7.8e-05
