,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
deltaG1_0,2300.0,2400.0,1.0,1.8e-05,1.2e-05
deltaG4_0,1400.0,1700.0,1.0,7.5e-05,5.1e-05
deltaG5_0,890.0,1100.0,1.0,8.4e-05,6e-05
beta_2,1000.0,1200.0,1.0,0.00049,0.00034
q,1100.0,1400.0,1.0,0.00045,0.00031
Gact2_BF_0,900.0,1100.0,1.0,4.8e-05,3.5e-05
Gact2_LH_0,2400.0,2200.0,1.0,0.0026,0.0023
sigma_ln_rate_material[Ag75Pd25],4700.0,2500.0,1.0,9.5e-05,6.8e-05
