balance,max_abs_error,q999_abs_error
Pd,2.6645352591003757e-15,2.220446049250313e-15
Ag,4.440892098500626e-16,2.220446049250313e-16
pathway_fraction_sum,1.7430501486614958e-14,1.554312234475219e-14
