control,reference_step_eV,comparison_step_eV,median_abs_difference,q999_abs_difference,max_abs_difference
BF,0.0001,5e-05,3.3701357815552058e-09,1.8847592965520744e-07,1.8848310934238555e-07
LH,0.0001,5e-05,3.3701918358917254e-09,1.884759296133798e-07,1.8848326371889712e-07
