parameter,prior_mean,prior_sd,prior_q025,prior_q50,prior_q975,lower,upper,posterior_mean,posterior_sd,posterior_q025,posterior_q50,posterior_q975,sd_ratio_posterior_over_prior,interval_ratio_posterior_over_prior
deltaG1_0,-0.4,0.2,-0.7919927969080109,-0.4,-0.008007203091989212,,,-0.1233630972129009,0.0010632644999372515,-0.1254363784603016,-0.12335554533226845,-0.12134319566878646,0.005316322499686257,0.005220992354708601
deltaG4_0,0.0,0.2,-0.3919927969080109,0.0,0.3919927969080108,,,0.11334495587141151,0.004282195949570059,0.10587439269444308,0.11315983650335623,0.12256422552273633,0.021410979747850292,0.02128844325704517
deltaG5_0,0.0,0.2,-0.3919927969080109,0.0,0.3919927969080108,,,0.031680310112509553,0.00516858644300842,0.02187901026559255,0.03167413360841664,0.041832723972950375,0.025842932215042098,0.02545163312278972
beta_2,0.5,0.2886751345948129,0.025,0.5,0.975,0.0,1.0,0.08502598250811416,0.04235483030279926,0.006910062617861079,0.08694209007826535,0.1636301499894073,0.14672143606081242,0.16496851302268023
q,0.5,0.2886751345948129,0.025,0.5,0.975,0.0,1.0,0.3197997688470189,0.03129256449182255,0.2565449816343658,0.32032377034997495,0.3731988087610322,0.10840062319792483,0.1227935022385962
Gact2_BF_0,0.700174577150731,0.19969417997855315,0.3087804271393961,0.7000583114635273,1.0920127003633506,0.0,inf,0.6658271192636797,0.004465449071924748,0.6570033185011543,0.6658623267873587,0.6741149239638398,0.0223614382372302,0.021847421317625647
Gact2_LH_0,0.700174577150731,0.19969417997855315,0.3087804271393961,0.7000583114635273,1.0920127003633506,0.0,inf,0.7223161018482718,0.00409780547682129,0.7153709424681578,0.7219011668309526,0.7313409386650593,0.020520405137803156,0.02038985974258384
