variable,index,mean,sd,q025,q50,q975
sigma_ln_rate_material,"(0,)",0.42487429718370096,0.007694284037814393,0.4101129165495622,0.4247955400433608,0.4403137238837377
sigma_ln_rate_setup_material,"(0,)",0.07662480020727999,0.028306470416799418,0.03844274505567442,0.07147374939388718,0.14623349299080812
