observable,n_points,median_abs_residual_q50,median_abs_standardized_residual_q50,posterior_95_contains_experimental_mean,median_chain_q50_range_over_exp_sd,p95_chain_q50_range_over_exp_sd,max_chain_q50_range_over_exp_sd
alpha,477,0.030534082239759563,2.640487409048504,0.2180293501048218,0.06970742143662499,0.3400229813666551,1.5446503458907563
delta_OH,152,0.10071226531936184,0.8656582400350794,0.25,0.03951970865224365,0.0875149735128165,0.10098368584679919
delta_CO,354,0.28622971727954627,12.231167007971306,0.02824858757062147,0.02435183839556545,0.10960398887249267,0.4619968447150051
