observable,n_points,median_abs_residual,median_abs_standardized_residual,posterior_95_hdi_contains_experimental_mean,median_chain_median_range_over_exp_sd,p95_chain_median_range_over_exp_sd,max_chain_median_range_over_exp_sd
alpha,492,0.032409747757643596,2.754701280343718,0.15040650406504066,0.043087220144578206,0.42869967500346157,1.9456065962209226
delta_OH,164,0.09987892560208667,0.7756005608149706,0.12195121951219512,0.012514413459302088,0.027085423490075346,0.038604671549491834
delta_CO,369,0.19627183568280138,5.124662441107431,0.016260162601626018,0.008577524704192927,0.044057505549607134,0.10705274106149182
