parameter,prior_mean,prior_sd,prior_q025,prior_q50,prior_q975,lower,upper,posterior_mean,posterior_sd,posterior_median,posterior_hdi95_lower,posterior_hdi95_upper,sd_ratio_posterior_over_prior,interval95_width_ratio_posterior_hdi_over_prior_central
deltaG1_0,-0.4,0.2,-0.7919927969080109,-0.4,-0.008007203091989212,,,-0.11230130288269775,0.0008183609152729224,-0.11229982543585688,-0.1139597913432716,-0.11077720340204383,0.0040918045763646115,0.004059497988651336
deltaG4_0,0.0,0.2,-0.3919927969080109,0.0,0.3919927969080108,,,0.07947997433937153,0.0026843062649243884,0.0794158402807564,0.07434822283558155,0.0848699158994901,0.013421531324621941,0.013420773477092328
deltaG5_0,0.0,0.2,-0.3919927969080109,0.0,0.3919927969080108,,,-0.010564553616579066,0.002329967492350342,-0.010503896895303419,-0.015264550667842047,-0.006150211259934431,0.01164983746175171,0.01162564654223287
beta_2,0.5,0.2886751345948129,0.025,0.5,0.975,0.0,1.0,0.06686138401954354,0.014569005173521075,0.06715720935904251,0.037285437894926846,0.09440870196641704,0.05046851435254465,0.06012975165420021
q,0.5,0.2886751345948129,0.025,0.5,0.975,0.0,1.0,0.2669062586531731,0.014125633493085358,0.266966809478947,0.23909219145781224,0.2943135670124602,0.048932629798240944,0.05812776374173469
Gact2_BF_0,0.700174577150731,0.19969417997855315,0.3087804271393961,0.7000583114635273,1.0920127003633506,0.0,inf,0.693284394487226,0.0013400995319460779,0.6932721078470602,0.6907360663255437,0.6959443764210125,0.006710759082162547,0.006649764410281768
Gact2_LH_0,0.700174577150731,0.19969417997855315,0.3087804271393961,0.7000583114635273,1.0920127003633506,0.0,inf,0.9002277472755211,0.11138569827576592,0.8776817097262263,0.7396650894814633,1.122706031352518,0.557781394969691,0.48905153039005245
