,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
deltaG1_0,3000.0,2600.0,1.0,1.9e-05,1.3e-05
deltaG4_0,3400.0,2800.0,1.0,7.9e-05,6.4e-05
deltaG5_0,610.0,770.0,1.0,0.00021,0.00015
beta_2,590.0,660.0,1.0,0.0017,0.001
q,630.0,740.0,1.0,0.0012,0.0008
Gact2_BF_0,590.0,760.0,1.0,0.00019,0.00013
Gact2_LH_0,2500.0,2500.0,1.0,8.1e-05,6.9e-05
sigma_ln_rate_material[Ag10Pd90],4500.0,2500.0,1.0,0.00012,8.3e-05
