      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 00:54:33  -128150.068386*       0.4542
FIRE:    1 00:58:53  -128150.071689*       0.3447
FIRE:    2 01:03:02  -128150.076479*       0.3104
FIRE:    3 01:10:02  -128150.081315*       0.2086
FIRE:    4 01:14:50  -128150.084465*       0.1644
FIRE:    5 01:20:44  -128150.085809*       0.1195
FIRE:    6 01:25:33  -128150.086274*       0.1544
FIRE:    7 01:31:54  -128150.086730*       0.1364
FIRE:    8 01:37:12  -128150.087489*       0.1366
FIRE:    9 01:42:13  -128150.088670*       0.0643
FIRE:   10 01:46:42  -128150.090057*       0.0918
FIRE:   11 01:53:42  -128150.091379*       0.1370
FIRE:   12 02:00:09  -128150.092152*       0.2373
FIRE:   13 02:03:54  -128150.092545*       0.1135
FIRE:   14 02:08:26  -128150.092574*       0.1396
FIRE:   15 02:14:08  -128150.092616*       0.1243
FIRE:   16 02:16:11  -128150.092672*       0.0948
FIRE:   17 02:18:52  -128150.092733*       0.0548
FIRE:   18 02:23:13  -128150.092786*       0.0592
FIRE:   19 02:25:51  -128150.092812*       0.0927
FIRE:   20 02:28:38  -128150.092854*       0.1035
FIRE:   21 02:32:09  -128150.092911*       0.0934
FIRE:   22 02:35:01  -128150.093005*       0.0803
FIRE:   23 02:38:59  -128150.093100*       0.0536
FIRE:   24 02:43:40  -128150.093194*       0.0658
FIRE:   25 02:46:10  -128150.093266*       0.0892
FIRE:   26 02:50:38  -128150.093413*       0.0780
FIRE:   27 02:54:48  -128150.093576*       0.0442
