variable,index,mean,sd,q025,q50,q975
sigma_ln_rate_material,"(0,)",0.42349390947938004,0.008074161092837371,0.40800591187091084,0.4232901340023443,0.43975620756099243
sigma_ln_rate_setup_material,"(0,)",0.07491779155962525,0.027019130347358665,0.03799262597990115,0.06984161208152603,0.14243236726964
