balance,max_abs_error,q999_abs_error
Pd,2.55351295663786e-15,2.220446049250313e-15
Ag,8.881784197001252e-16,4.440892098500626e-16
pathway_fraction_sum,1.9539925233402755e-14,1.4432899320127035e-14
