,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
deltaG1_0,3300.0,2700.0,1.0,1.4e-05,9.8e-06
deltaG4_0,1600.0,2300.0,1.0,6.7e-05,4.8e-05
deltaG5_0,1200.0,1800.0,1.0,6.5e-05,4.6e-05
beta_2,1500.0,1600.0,1.0,0.00038,0.00026
q,1500.0,1800.0,1.0,0.00037,0.00027
Gact2_BF_0,1500.0,1700.0,1.0,3.5e-05,2.4e-05
Gact2_LH_0,4400.0,3000.0,1.0,0.0019,0.0018
sigma_ln_rate_material[Ag75Pd25],5900.0,2800.0,1.0,8.3e-05,5.8e-05
sigma_ln_rate_setup_material[Ag75Pd25],1400.0,1800.0,1.0,0.00081,0.001
z_ln_rate_setup[material=Ag75Pd25 | electrolyte_concentration_M=0.25 | replicate=A],2400.0,2300.0,1.0,0.013,0.0092
z_ln_rate_setup[material=Ag75Pd25 | electrolyte_concentration_M=0.25 | replicate=B],2600.0,2500.0,1.0,0.012,0.0084
z_ln_rate_setup[material=Ag75Pd25 | electrolyte_concentration_M=0.25 | replicate=C],2400.0,2500.0,1.0,0.013,0.009
z_ln_rate_setup[material=Ag75Pd25 | electrolyte_concentration_M=0.5 | replicate=A],2600.0,2500.0,1.0,0.012,0.0088
z_ln_rate_setup[material=Ag75Pd25 | electrolyte_concentration_M=0.5 | replicate=B],2500.0,2300.0,1.0,0.013,0.009
z_ln_rate_setup[material=Ag75Pd25 | electrolyte_concentration_M=0.5 | replicate=C],2600.0,2500.0,1.0,0.012,0.0088
z_ln_rate_setup[material=Ag75Pd25 | electrolyte_concentration_M=1.0 | replicate=A],2600.0,2500.0,1.0,0.013,0.009
z_ln_rate_setup[material=Ag75Pd25 | electrolyte_concentration_M=1.0 | replicate=B],2300.0,2100.0,1.0,0.014,0.0097
z_ln_rate_setup[material=Ag75Pd25 | electrolyte_concentration_M=1.0 | replicate=C],2300.0,2500.0,1.0,0.016,0.011
