material,n_observations,elpd_loo_contribution,mean_elpd_loo,max_pareto_k,n_pareto_k_above_0p7
Ag10Pd90,1431,-1827.3178635773895,-1.27695168663689,0.0820748830459006,0
Ag25Pd75,1470,-1767.1839661823337,-1.2021659633893427,0.13783494929928938,0
Ag50Pd50,1476,-973.962262662288,-0.6598660316140162,0.1190571214327282,0
Ag75Pd25,1476,-633.4392964228643,-0.4291594149206398,0.145856098212383,0
Ag90Pd10,1476,-1264.7689562119226,-0.8568895367289449,0.155410088742099,0
Pd100,1464,-4121.773770150743,-2.815419241906245,0.0012835308209432471,0
