parameter,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
deltaG1_0,2126.624260189188,2610.384504498211,1.0012445516006947,1.1710257433917872e-05,8.41967066992308e-06
deltaG4_0,1877.0326109828582,2272.410170886314,1.0016669735548742,2.546831097000025e-05,1.8568423031161034e-05
deltaG5_0,683.7241605730491,1041.4750130710145,1.0008420872541584,6.883768098335099e-05,5.013106477194048e-05
beta_2,888.0858300775654,843.0958025301036,1.0053841933564613,0.0001303185016535156,0.00012486958888200024
q,872.1005636237296,1393.7619260986228,1.003259730952142,0.00018173051937815063,0.0001311029620292636
Gact2_BF_0,721.0235261520431,1063.9730170744397,1.0007439033119307,3.869456523390681e-05,2.8169409521065727e-05
Gact2_LH_0,1823.2893759879119,2303.3934748248803,1.0004707687514247,2.382153466210845e-05,1.6304392585808543e-05
