,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
deltaG1_0,4700.0,2800.0,1.0,1.1e-05,7.7e-06
deltaG4_0,2700.0,2600.0,1.0,4.3e-05,3.1e-05
deltaG5_0,1700.0,2000.0,1.0,5.5e-05,4.1e-05
beta_2,2900.0,2000.0,1.0,8.6e-05,0.0001
q,2200.0,2400.0,1.0,0.00012,9.5e-05
Gact2_BF_0,1800.0,2000.0,1.0,3.7e-05,2.7e-05
Gact2_LH_0,3700.0,2500.0,1.0,0.0021,0.0018
sigma_ln_rate_material[Ag50Pd50],5400.0,2600.0,1.0,7.7e-05,5.5e-05
sigma_ln_rate_setup_material[Ag50Pd50],1400.0,1700.0,1.0,0.0011,0.0011
z_ln_rate_setup[material=Ag50Pd50 | electrolyte_concentration_M=0.25 | replicate=A],2100.0,2000.0,1.0,0.013,0.0091
z_ln_rate_setup[material=Ag50Pd50 | electrolyte_concentration_M=0.25 | replicate=B],2100.0,2000.0,1.0,0.013,0.0091
z_ln_rate_setup[material=Ag50Pd50 | electrolyte_concentration_M=0.25 | replicate=C],2000.0,2100.0,1.0,0.014,0.0095
z_ln_rate_setup[material=Ag50Pd50 | electrolyte_concentration_M=0.5 | replicate=A],2200.0,2300.0,1.0,0.014,0.0093
z_ln_rate_setup[material=Ag50Pd50 | electrolyte_concentration_M=0.5 | replicate=B],2100.0,2200.0,1.0,0.014,0.0092
z_ln_rate_setup[material=Ag50Pd50 | electrolyte_concentration_M=0.5 | replicate=C],1800.0,1900.0,1.0,0.017,0.011
z_ln_rate_setup[material=Ag50Pd50 | electrolyte_concentration_M=1.0 | replicate=A],2300.0,2200.0,1.0,0.013,0.0091
z_ln_rate_setup[material=Ag50Pd50 | electrolyte_concentration_M=1.0 | replicate=B],2300.0,2100.0,1.0,0.013,0.009
z_ln_rate_setup[material=Ag50Pd50 | electrolyte_concentration_M=1.0 | replicate=C],2200.0,2300.0,1.0,0.013,0.0093
