,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
deltaG1_0,2900.0,2400.0,1.0,1.9e-05,1.4e-05
deltaG4_0,2000.0,2200.0,1.0,0.00018,0.00015
deltaG5_0,530.0,630.0,1.0,0.00021,0.00014
beta_2,520.0,560.0,1.0,0.0018,0.0012
q,580.0,560.0,1.0,0.0013,0.00088
Gact2_0,510.0,620.0,1.0,0.00019,0.00013
sigma_ln_rate_material[Ag10Pd90],3400.0,2500.0,1.0,0.00014,9.9e-05
