parameter,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
deltaG1_0,4961.8639486116435,3139.516412257902,1.0003135792707951,7.436427940640401e-06,5.215572048482581e-06
deltaG4_0,3373.972111291356,3335.05350275098,1.000290705066675,1.822125315737158e-05,1.2713241866136677e-05
deltaG5_0,1622.0267337682342,2055.595119596103,1.0012057797332197,4.261812866260265e-05,3.0165246020560176e-05
beta_2,2489.148084958641,1800.2052290609045,1.0004978475304016,7.908279976471577e-05,8.399369010813136e-05
q,1935.0563870018411,2271.5199298076163,1.0009611652912564,0.00011608324138096293,8.937393077785608e-05
Gact2_BF_0,1695.0621056187658,2124.1250818513854,1.0010664111908278,2.385665270943161e-05,1.6428716901038837e-05
Gact2_LH_0,3971.4280312395827,3245.6470321248876,1.0005133289971906,1.5959797217509954e-05,1.127801873106067e-05
