material,n_observations,elpd_loo_contribution,mean_elpd_loo,max_pareto_k,n_pareto_k_above_0p7
Ag10Pd90,1431,-1830.347131992573,-1.279068575815914,0.17941738824341197,0
Ag25Pd75,1470,-1751.4111414318236,-1.1914361506338935,0.1700583140485366,0
Ag50Pd50,1476,-907.4428650417688,-0.6147986890526889,0.13410427864644936,0
Ag75Pd25,1476,-598.2657601515793,-0.4053291057937529,0.16267409404210523,0
Ag90Pd10,1476,-1156.9425590350525,-0.7838364221104691,0.13076675638275462,0
Pd100,1464,-4118.125135548924,-2.812927005156369,0.23634735832229706,0
