balance,max_abs_error,q999_abs_error
Pd,7.771561172376096e-16,6.661338147750939e-16
Ag,4.440892098500626e-16,2.220446049250313e-16
pathway_fraction_sum,6.661338147750939e-16,4.440892098500626e-16
