material,electrolyte_concentration_M,CO_mole_fraction,replicate,n_points,mean_residual,mean_abs_residual,rms_residual,lag1_residual_correlation,residual_slope_per_V
Ag10Pd90,0.25,0.001,A,33,0.31560310082401893,0.31560310082401893,0.3348270306198024,0.9809172142238258,1.0846276629680247
Ag10Pd90,0.25,0.001,B,33,0.4683701999466307,0.4683701999466307,0.474002075814523,0.9949597660266675,0.7286306277865894
Ag10Pd90,0.25,0.001,C,33,0.28599543483288714,0.29869327163998605,0.3468165043349516,0.980168996657142,1.6434428908918666
Ag10Pd90,0.25,0.01,A,37,-0.5875478918994775,0.5875478918994775,0.598444030240533,0.9849130456066223,0.9718633240700854
Ag10Pd90,0.25,0.01,B,37,-0.5968125432452778,0.5968125432452778,0.6016925201806371,0.9749041771113126,0.6289081823464215
Ag10Pd90,0.25,0.01,C,37,-0.5697235128702957,0.5697235128702957,0.6135354984989123,0.9973561092145888,2.0307976349220738
Ag10Pd90,0.25,0.1,A,41,-0.34064130801679154,0.34064130801679154,0.3475080027842572,0.9846555327337234,0.15331780721537208
Ag10Pd90,0.25,0.1,B,41,-0.32680702556695246,0.32680702556695246,0.33398356362217807,0.9828641079265963,-0.06721936356716507
Ag10Pd90,0.25,0.1,C,41,-0.3467840952193602,0.3467840952193602,0.36419677619623314,0.9959072894283352,0.6812769704793943
Ag10Pd90,0.25,1.0,A,41,0.38850055590301363,0.38850055590301363,0.4008112805887891,0.9877714903676335,-0.3757742435556487
Ag10Pd90,0.25,1.0,B,41,0.2785096026799249,0.2785096026799249,0.2972190932712981,0.9941319115040891,-0.5742390895860509
Ag10Pd90,0.25,1.0,C,41,0.326238101411537,0.326238101411537,0.34333219001119636,0.9852549293919697,-0.3022757274080819
Ag10Pd90,0.5,0.001,A,38,0.42827847426014837,0.43491863118975604,0.46262810896881695,0.9817173479349691,-0.8228709285021857
Ag10Pd90,0.5,0.001,B,38,0.36428735377433036,0.42760167928480186,0.4474985684976578,0.987874759489163,-1.6253274075795123
Ag10Pd90,0.5,0.001,C,38,0.30796461096643385,0.3308894702474003,0.36929974126832404,0.9660273488672123,-0.09044466414893981
Ag10Pd90,0.5,0.01,A,41,-0.36933972031880685,0.36933972031880685,0.37608788980003377,0.9540914145417717,0.2738052224510703
Ag10Pd90,0.5,0.01,B,41,-0.3525409445619894,0.3525409445619894,0.35785733709789325,0.967571287924213,0.2183262097370539
Ag10Pd90,0.5,0.01,C,41,-0.3594321830480236,0.3646448342650466,0.39028448394176646,0.9754834008298804,1.0817008421241248
Ag10Pd90,0.5,0.1,A,41,-0.17252923040076845,0.1732698677416496,0.21195351109259364,0.9948781512189674,-0.9970134481011217
Ag10Pd90,0.5,0.1,B,41,-0.12136712388568562,0.15248041920423294,0.18278156921681118,0.9980603871997823,-1.1322935917062802
Ag10Pd90,0.5,0.1,C,41,-0.14182477889793577,0.14182477889793577,0.16476322309589744,0.9802659550583314,-0.5203818872724482
Ag10Pd90,0.5,1.0,A,41,0.492124642718198,0.492124642718198,0.5352040501350388,0.9991944104233318,-1.7440560651376853
Ag10Pd90,0.5,1.0,B,41,0.5003845525678542,0.5003845525678542,0.5456125007736742,0.9993198284939632,-1.8032315592860897
Ag10Pd90,0.5,1.0,C,41,0.5138085562376405,0.5138085562376405,0.5345016274465605,0.9977050398030768,-1.1714821034759657
Ag10Pd90,1.0,0.001,A,41,0.1001529561210322,0.13882617669456357,0.18993915321367572,0.9512257461851169,0.5254774876354537
Ag10Pd90,1.0,0.001,B,41,0.10124793616485249,0.128346040909424,0.1662251745874404,0.9355487702765853,0.2570271639183522
Ag10Pd90,1.0,0.001,C,41,0.04941778310058635,0.10664481585448748,0.15269561032271642,0.9419557707765461,0.5244610118056894
Ag10Pd90,1.0,0.01,A,41,-0.5005264848007812,0.5424593561886066,0.5706316077349883,0.9992184782656283,1.8712942480256642
Ag10Pd90,1.0,0.01,B,41,-0.5272051959669753,0.5506308562462134,0.5774720802015624,0.9981928353938071,1.5873136192081478
Ag10Pd90,1.0,0.01,C,41,-0.5301976736887178,0.5715023879311337,0.6038274573695939,0.9991059436303328,2.042233590274895
Ag10Pd90,1.0,0.1,A,41,-0.19981653817446512,0.20200156877045047,0.21677203605505307,0.9723196104447864,-0.15812353451768144
Ag10Pd90,1.0,0.1,B,41,-0.22175787325731,0.22175787325731,0.2367020131196513,0.9731398832295757,-0.3806745820299781
Ag10Pd90,1.0,0.1,C,41,-0.19638611632705422,0.19955563093643292,0.2087416375861894,0.9802220127618443,0.07178295156283417
Ag10Pd90,1.0,1.0,A,41,0.5759966421156822,0.5759966421156822,0.5980110188694624,0.9979427075973799,-1.3170150159255365
Ag10Pd90,1.0,1.0,B,41,0.5128199576515377,0.5128199576515377,0.5427041392891049,0.9982432027407061,-1.4656382740961102
Ag10Pd90,1.0,1.0,C,41,0.5679984153692414,0.5679984153692414,0.5846576100623124,0.9974687881925678,-1.1307450963609158
