,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
deltaG1_0,2600.0,2400.0,1.0,1.6e-05,1.1e-05
deltaG4_0,1300.0,1700.0,1.0,6.7e-05,4.7e-05
deltaG5_0,740.0,1000.0,1.0,9e-05,6.4e-05
beta_2,1300.0,1200.0,1.0,0.00013,0.00014
q,1100.0,1400.0,1.0,0.00018,0.00014
Gact2_BF_0,770.0,1100.0,1.0,6e-05,4.4e-05
Gact2_LH_0,1900.0,1900.0,1.0,0.0028,0.0024
sigma_ln_rate_material[Ag50Pd50],4900.0,2800.0,1.0,9.4e-05,6.6e-05
