      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 08:11:45  -104580.033762*       0.8373
FIRE:    1 08:16:06  -104580.034192*       0.7490
FIRE:    2 08:19:27  -104580.036201*       0.4195
FIRE:    3 08:23:10  -104580.037083*       0.1521
FIRE:    4 08:25:25  -104580.037125*       0.1716
FIRE:    5 08:28:29  -104580.037193*       0.1266
FIRE:    6 08:30:41  -104580.037264*       0.1006
FIRE:    7 08:32:58  -104580.037342*       0.0598
FIRE:    8 08:37:30  -104580.037416*       0.0780
FIRE:    9 08:40:50  -104580.037487*       0.1059
FIRE:   10 08:44:02  -104580.037568*       0.1117
FIRE:   11 08:47:40  -104580.037682*       0.1059
FIRE:   12 08:53:58  -104580.037780*       0.0746
FIRE:   13 08:59:09  -104580.037982*       0.0546
FIRE:   14 09:04:14  -104580.038128*       0.0592
FIRE:   15 09:08:41  -104580.038277*       0.0812
FIRE:   16 09:12:57  -104580.038450*       0.0692
FIRE:   17 09:16:50  -104580.038657*       0.0552
FIRE:   18 09:20:57  -104580.038836*       0.0519
FIRE:   19 09:26:14  -104580.039039*       0.0530
FIRE:   20 09:30:12  -104580.039249*       0.0460
