parameter,mean,sd,q025,q50,q975
q,0.5079364949862107,0.2883790088819735,0.02419353726310343,0.5111097413709826,0.9795812122803735
deltaG1_0,-0.40310289217518414,0.19890279488351154,-0.8058545309138115,-0.4016813282463553,-0.02012417514398786
deltaG5_0,-0.0018524410033661366,0.20571601781847232,-0.40199190194540674,-0.0019636007077124913,0.41058550973558444
Gact2_LH_0,0.705841627751894,0.20272146911300473,0.30360524137743483,0.7037390174375121,1.119371748381069
beta_2,0.48940340137711336,0.2889570419647867,0.026286458533740783,0.4984775589005886,0.9715085291017823
deltaG4_0,-0.0004691926616845823,0.19953229687780819,-0.3774901372900397,-0.000939085268467646,0.3930806015191603
sigma_ln_rate_material,0.2636597111109763,0.22202582800095308,0.04793589616126509,0.1993118379742878,0.869840060279739
Gact2_BF_0,0.696991520452543,0.19955292120451976,0.30091149679606216,0.6930693544029313,1.0768594602496557
