      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 21:58:40  -130987.477307*       1.2187
FIRE:    1 22:03:00  -130987.503061*       0.9446
FIRE:    2 22:08:46  -130987.539902*       0.9383
FIRE:    3 22:14:46  -130987.585525*       0.5963
FIRE:    4 22:18:58  -130987.622902*       0.7767
FIRE:    5 22:23:54  -130987.655823*       0.5703
FIRE:    6 22:28:16  -130987.680160*       0.4057
FIRE:    7 22:32:57  -130987.699408*       0.3269
FIRE:    8 22:37:49  -130987.712639*       0.3566
FIRE:    9 22:43:17  -130987.717369*       0.3947
FIRE:   10 22:46:51  -130987.718607*       0.2527
FIRE:   11 22:50:36  -130987.719917*       0.2021
FIRE:   12 22:54:14  -130987.720672*       0.2143
FIRE:   13 22:57:33  -130987.721514*       0.2978
FIRE:   14 23:01:30  -130987.722970*       0.2451
FIRE:   15 23:05:17  -130987.724512*       0.0981
FIRE:   16 23:09:42  -130987.725317*       0.1421
FIRE:   17 23:13:01  -130987.725749*       0.2330
FIRE:   18 23:17:11  -130987.726544*       0.1607
FIRE:   19 23:20:47  -130987.726930*       0.0930
FIRE:   20 23:23:41  -130987.726968*       0.0982
FIRE:   21 23:26:08  -130987.727047*       0.0759
FIRE:   22 23:29:17  -130987.727144*       0.0451
